ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
1,Active,Plausible,The raider caught the illness.,The raider caught the illness.,AI
1,Active,Implausible,The illness caught the raider.,The raider caught the illness.,AI
1,Passive,Plausible,The illness was caught by the raider.,The raider caught the illness.,AI
1,Passive,Implausible,The raider was caught by the illness.,The raider caught the illness.,AI
2,Active,Plausible,The marauder contracted the disease.,The marauder contracted the disease.,AI
2,Active,Implausible,The disease contracted the marauder.,The marauder contracted the disease.,AI
2,Passive,Plausible,The disease was contracted by the marauder.,The marauder contracted the disease.,AI
2,Passive,Implausible,The marauder was contracted by the disease.,The marauder contracted the disease.,AI
3,Active,Plausible,The repairman fixed the tap.,The tap was fixed by the repairman.,AI
3,Active,Implausible,The tap fixed the repairman.,The tap was fixed by the repairman.,AI
3,Passive,Plausible,The tap was fixed by the repairman.,The tap was fixed by the repairman.,AI
3,Passive,Implausible,The repairman was fixed by the tap.,The tap was fixed by the repairman.,AI
4,Active,Plausible,The handyman repaired the faucet.,The faucet was repaired by the handyman.,AI
4,Active,Implausible,The faucet repaired the handyman.,The faucet was repaired by the handyman.,AI
4,Passive,Plausible,The faucet was repaired by the handyman.,The faucet was repaired by the handyman.,AI
4,Passive,Implausible,The handyman was repaired by the faucet.,The faucet was repaired by the handyman.,AI
5,Active,Plausible,The convict dreaded the prison.,The convict dreaded prison.,AI
5,Active,Implausible,The prison dreaded the convict.,The convict dreaded prison.,AI
5,Passive,Plausible,The prison was dreaded by the convict.,The convict dreaded prison.,AI
5,Passive,Implausible,The convict was dreaded by the prison.,The convict dreaded prison.,AI
6,Active,Plausible,The criminal feared the jail.,The criminal feared jail.,AI
6,Active,Implausible,The jail feared the criminal.,The criminal feared jail.,AI
6,Passive,Plausible,The jail was feared by the criminal.,The criminal feared jail.,AI
6,Passive,Implausible,The criminal was feared by the jail.,The criminal feared jail.,AI
7,Active,Plausible,The dietician loathed the jam.,Jam was loathed by the dietician.,AI
7,Active,Implausible,The jam loathed the dietician.,Jam was loathed by the dietician.,AI
7,Passive,Plausible,The jam was loathed by the dietician.,Jam was loathed by the dietician.,AI
7,Passive,Implausible,The dietician was loathed by the jam.,Jam was loathed by the dietician.,AI
8,Active,Plausible,The nutritionist detested the marmalade.,Marmalade was detested by the nutritionist.,AI
8,Active,Implausible,The marmalade detested the nutritionist.,Marmalade was detested by the nutritionist.,AI
8,Passive,Plausible,The marmalade was detested by the nutritionist.,Marmalade was detested by the nutritionist.,AI
8,Passive,Implausible,The nutritionist was detested by the marmalade.,Marmalade was detested by the nutritionist.,AI
9,Active,Plausible,The prostitute squandered the cash.,The prostitute squandered the cash.,AI
9,Active,Implausible,The cash squandered the prostitute.,The prostitute squandered the cash.,AI
9,Passive,Plausible,The cash was squandered by the prostitute.,The prostitute squandered the cash.,AI
9,Passive,Implausible,The prostitute was squandered by the cash.,The prostitute squandered the cash.,AI
10,Active,Plausible,The girl wasted the money.,The call girl wasted the money.,AI
10,Active,Implausible,The money wasted the girl.,The call girl wasted the money.,AI
10,Passive,Plausible,The money was wasted by the girl.,The call girl wasted the money.,AI
10,Passive,Implausible,The girl was wasted by the money.,The call girl wasted the money.,AI
11,Active,Plausible,The author finished the novel.,The novel was finished by the author.,AI
11,Active,Implausible,The novel finished the author.,The novel was finished by the author.,AI
11,Passive,Plausible,The novel was finished by the author.,The novel was finished by the author.,AI
11,Passive,Implausible,The author was finished by the novel.,The novel was finished by the author.,AI
12,Active,Plausible,The writer completed the book.,The book was completed by the writer.,AI
12,Active,Implausible,The book completed the writer.,The book was completed by the writer.,AI
12,Passive,Plausible,The book was completed by the writer.,The book was completed by the writer.,AI
12,Passive,Implausible,The writer was completed by the book.,The book was completed by the writer.,AI
13,Active,Plausible,The adventurer requested the beverage.,The adventurer requested a beverage.,AI
13,Active,Implausible,The beverage requested the adventurer.,The adventurer requested a beverage.,AI
13,Passive,Plausible,The beverage was requested by the adventurer.,The adventurer requested a beverage.,AI
13,Passive,Implausible,The adventurer was requested by the beverage.,The adventurer requested a beverage.,AI
14,Active,Plausible,The captain promised the triumph.,A triumph was promised by the ship captain.,AI
14,Active,Implausible,The triumph promised the captain.,A triumph was promised by the ship captain.,AI
14,Passive,Plausible,The triumph was promised by the captain.,A triumph was promised by the ship captain.,AI
14,Passive,Implausible,The captain was promised by the triumph.,A triumph was promised by the ship captain.,AI
15,Active,Plausible,The skipper guaranteed the victory.,A victory was guaranteed by the skipper.,AI
15,Active,Implausible,The victory guaranteed the skipper.,A victory was guaranteed by the skipper.,AI
15,Passive,Plausible,The victory was guaranteed by the skipper.,A victory was guaranteed by the skipper.,AI
15,Passive,Implausible,The skipper was guaranteed by the victory.,A victory was guaranteed by the skipper.,AI
16,Active,Plausible,The undertaker prepared the funeral.,The undertaker prepared the funeral.,AI
16,Active,Implausible,The funeral prepared the undertaker.,The undertaker prepared the funeral.,AI
16,Passive,Plausible,The funeral was prepared by the undertaker.,The undertaker prepared the funeral.,AI
16,Passive,Implausible,The undertaker was prepared by the funeral.,The undertaker prepared the funeral.,AI
17,Active,Plausible,The mortician arranged the burial.,The mortician arranged the burial.,AI
17,Active,Implausible,The burial arranged the mortician.,The mortician arranged the burial.,AI
17,Passive,Plausible,The burial was arranged by the mortician.,The mortician arranged the burial.,AI
17,Passive,Implausible,The mortician was arranged by the burial.,The mortician arranged the burial.,AI
18,Active,Plausible,The accountant made the chart.,The chart was made by the accountant.,AI
18,Active,Implausible,The chart made the accountant.,The chart was made by the accountant.,AI
18,Passive,Plausible,The chart was made by the accountant.,The chart was made by the accountant.,AI
18,Passive,Implausible,The accountant was made by the chart.,The chart was made by the accountant.,AI
19,Active,Plausible,The bookkeeper created the graph.,The graph was created by the bookkeeper.,AI
19,Active,Implausible,The graph created the bookkeeper.,The graph was created by the bookkeeper.,AI
19,Passive,Plausible,The graph was created by the bookkeeper.,The graph was created by the bookkeeper.,AI
19,Passive,Implausible,The bookkeeper was created by the graph.,The graph was created by the bookkeeper.,AI
20,Active,Plausible,The supervisor supplied the liquor.,The supervisor supplied the liquor.,AI
20,Active,Implausible,The liquor supplied the supervisor.,The supervisor supplied the liquor.,AI
20,Passive,Plausible,The liquor was supplied by the supervisor.,The supervisor supplied the liquor.,AI
20,Passive,Implausible,The supervisor was supplied by the liquor.,The supervisor supplied the liquor.,AI
21,Active,Plausible,The overseer provided the alcohol.,The overseer provided the alcohol.,AI
21,Active,Implausible,The alcohol provided the overseer.,The overseer provided the alcohol.,AI
21,Passive,Plausible,The alcohol was provided by the overseer.,The overseer provided the alcohol.,AI
21,Passive,Implausible,The overseer was provided by the alcohol.,The overseer provided the alcohol.,AI
22,Active,Plausible,The builder washed the pants.,The pants were washed by the builder.,AI
22,Active,Implausible,The pants washed the builder.,The pants were washed by the builder.,AI
22,Passive,Plausible,The pants were washed by the builder.,The pants were washed by the builder.,AI
22,Passive,Implausible,The builder was washed by the pants.,The pants were washed by the builder.,AI
23,Active,Plausible,The contractor laundered the trousers.,The trousers were laundered by the contractor.,AI
23,Active,Implausible,The trousers laundered the contractor.,The trousers were laundered by the contractor.,AI
23,Passive,Plausible,The trousers were laundered by the contractor.,The trousers were laundered by the contractor.,AI
23,Passive,Implausible,The contractor was laundered by the trousers.,The trousers were laundered by the contractor.,AI
24,Active,Plausible,The troublemaker crashed the car.,The troublemaker crashed the car.,AI
24,Active,Implausible,The car crashed the troublemaker.,The troublemaker crashed the car.,AI
24,Passive,Plausible,The car was crashed by the troublemaker.,The troublemaker crashed the car.,AI
24,Passive,Implausible,The troublemaker was crashed by the car.,The troublemaker crashed the car.,AI
25,Active,Plausible,The hooligan wrecked the vehicle.,The hooligan wrecked the vehicle.,AI
25,Active,Implausible,The vehicle wrecked the hooligan.,The hooligan wrecked the vehicle.,AI
25,Passive,Plausible,The vehicle was wrecked by the hooligan.,The hooligan wrecked the vehicle.,AI
25,Passive,Implausible,The hooligan was wrecked by the vehicle.,The hooligan wrecked the vehicle.,AI
26,Active,Plausible,The convalescent took the pill.,The pill was taken by the convalescent.,AI
26,Active,Implausible,The pill took the convalescent.,The pill was taken by the convalescent.,AI
26,Passive,Plausible,The pill was taken by the convalescent.,The pill was taken by the convalescent.,AI
26,Passive,Implausible,The convalescent was taken by the pill.,The pill was taken by the convalescent.,AI
27,Active,Plausible,The patient swallowed the medicine.,The medicine was swallowed by the patient.,AI
27,Active,Implausible,The medicine swallowed the patient.,The medicine was swallowed by the patient.,AI
27,Passive,Plausible,The medicine was swallowed by the patient.,The medicine was swallowed by the patient.,AI
27,Passive,Implausible,The patient was swallowed by the medicine.,The medicine was swallowed by the patient.,AI
28,Active,Plausible,The secretary organized the desk.,The secretary organized the desk.,AI
28,Active,Implausible,The desk organized the secretary.,The secretary organized the desk.,AI
28,Passive,Plausible,The desk was organized by the secretary.,The secretary organized the desk.,AI
28,Passive,Implausible,The secretary was organized by the desk.,The secretary organized the desk.,AI
29,Active,Plausible,The receptionist tidied the table.,The receptionist tidied the table.,AI
29,Active,Implausible,The table tidied the receptionist.,The receptionist tidied the table.,AI
29,Passive,Plausible,The table was tidied by the receptionist.,The receptionist tidied the table.,AI
29,Passive,Implausible,The receptionist was tidied by the table.,The receptionist tidied the table.,AI
30,Active,Plausible,The carnivore ate the steak.,The steak was eaten by the carnivore.,AI
30,Active,Implausible,The steak ate the carnivore.,The steak was eaten by the carnivore.,AI
30,Passive,Plausible,The steak was eaten by the carnivore.,The steak was eaten by the carnivore.,AI
30,Passive,Implausible,The carnivore was eaten by the steak.,The steak was eaten by the carnivore.,AI
31,Active,Plausible,The meat-eater devoured the filet.,The filet was devoured by the meat-eater.,AI
31,Active,Implausible,The filet devoured the meat-eater.,The filet was devoured by the meat-eater.,AI
31,Passive,Plausible,The filet was devoured by the meat-eater.,The filet was devoured by the meat-eater.,AI
31,Passive,Implausible,The meat-eater was devoured by the filet.,The filet was devoured by the meat-eater.,AI
32,Active,Plausible,The pilot steered the airplane.,The pilot steered the airplane.,AI
32,Active,Implausible,The airplane steered the pilot.,The pilot steered the airplane.,AI
32,Passive,Plausible,The airplane was steered by the pilot.,The pilot steered the airplane.,AI
32,Passive,Implausible,The pilot was steered by the airplane.,The pilot steered the airplane.,AI
33,Active,Plausible,The aviator maneuvered the jet.,The aviator maneuvered the jet.,AI
33,Active,Implausible,The jet maneuvered the aviator.,The aviator maneuvered the jet.,AI
33,Passive,Plausible,The jet was maneuvered by the aviator.,The aviator maneuvered the jet.,AI
33,Passive,Implausible,The aviator was maneuvered by the jet.,The aviator maneuvered the jet.,AI
34,Active,Plausible,The traveler lost the souvenir.,The souvenir was lost by the traveler.,AI
34,Active,Implausible,The souvenir lost the traveler.,The souvenir was lost by the traveler.,AI
34,Passive,Plausible,The souvenir was lost by the traveler.,The souvenir was lost by the traveler.,AI
34,Passive,Implausible,The traveler was lost by the souvenir.,The souvenir was lost by the traveler.,AI
35,Active,Plausible,The sightseer misplaced the memento.,The memento was misplaced by the sightseer.,AI
35,Active,Implausible,The memento misplaced the sightseer.,The memento was misplaced by the sightseer.,AI
35,Passive,Plausible,The memento was misplaced by the sightseer.,The memento was misplaced by the sightseer.,AI
35,Passive,Implausible,The sightseer was misplaced by the memento.,The memento was misplaced by the sightseer.,AI
36,Active,Plausible,The chef sauteed the squid.,The chef sauteed the squid.,AI
36,Active,Implausible,The squid sauteed the chef.,The chef sauteed the squid.,AI
36,Passive,Plausible,The squid was sauteed by the chef.,The chef sauteed the squid.,AI
36,Passive,Implausible,The chef was sauteed by the squid.,The chef sauteed the squid.,AI
37,Active,Plausible,The cook grilled the octopus.,The cook grilled the octopus.,AI
37,Active,Implausible,The octopus grilled the cook.,The cook grilled the octopus.,AI
37,Passive,Plausible,The octopus was grilled by the cook.,The cook grilled the octopus.,AI
37,Passive,Implausible,The cook was grilled by the octopus.,The cook grilled the octopus.,AI
38,Active,Plausible,The reporter abandoned the story.,The story was abandoned by the reporter.,AI
38,Active,Implausible,The story abandoned the reporter.,The story was abandoned by the reporter.,AI
38,Passive,Plausible,The story was abandoned by the reporter.,The story was abandoned by the reporter.,AI
38,Passive,Implausible,The reporter was abandoned by the story.,The story was abandoned by the reporter.,AI
39,Active,Plausible,The journalist ditched the article.,The article was ditched by the journalist.,AI
39,Active,Implausible,The article ditched the journalist.,The article was ditched by the journalist.,AI
39,Passive,Plausible,The article was ditched by the journalist.,The article was ditched by the journalist.,AI
39,Passive,Implausible,The journalist was ditched by the article.,The article was ditched by the journalist.,AI
40,Active,Plausible,The milliner adorned the fedora.,The milliner adorned the fedora.,AI
40,Active,Implausible,The fedora adorned the milliner.,The milliner adorned the fedora.,AI
40,Passive,Plausible,The fedora was adorned by the milliner.,The milliner adorned the fedora.,AI
40,Passive,Implausible,The milliner was adorned by the fedora.,The milliner adorned the fedora.,AI
41,Active,Plausible,The hatter decorated the bowler.,The hatter decorated the bowler.,AI
41,Active,Implausible,The bowler decorated the hatter.,The hatter decorated the bowler.,AI
41,Passive,Plausible,The bowler was decorated by the hatter.,The hatter decorated the bowler.,AI
41,Passive,Implausible,The hatter was decorated by the bowler.,The hatter decorated the bowler.,AI
42,Active,Plausible,The scientist discovered the cure.,The cure was discovered by the scientist.,AI
42,Active,Implausible,The cure discovered the scientist.,The cure was discovered by the scientist.,AI
42,Passive,Plausible,The cure was discovered by the scientist.,The cure was discovered by the scientist.,AI
42,Passive,Implausible,The scientist was discovered by the cure.,The cure was discovered by the scientist.,AI
43,Active,Plausible,The researcher found the remedy.,The remedy was found by the researcher.,AI
43,Active,Implausible,The remedy found the researcher.,The remedy was found by the researcher.,AI
43,Passive,Plausible,The remedy was found by the researcher.,The remedy was found by the researcher.,AI
43,Passive,Implausible,The researcher was found by the remedy.,The remedy was found by the researcher.,AI
44,Active,Plausible,The serviceman hoisted the flag.,The serviceman hoisted the flag.,AI
44,Active,Implausible,The flag hoisted the serviceman.,The serviceman hoisted the flag.,AI
44,Passive,Plausible,The flag was hoisted by the serviceman.,The serviceman hoisted the flag.,AI
44,Passive,Implausible,The serviceman was hoisted by the flag.,The serviceman hoisted the flag.,AI
45,Active,Plausible,The soldier raised the banner.,The soldier raised the banner.,AI
45,Active,Implausible,The banner raised the soldier.,The soldier raised the banner.,AI
45,Passive,Plausible,The banner was raised by the soldier.,The soldier raised the banner.,AI
45,Passive,Implausible,The soldier was raised by the banner.,The soldier raised the banner.,AI
46,Active,Plausible,The lady cooked the supper.,The supper was cooked by the lady.,AI
46,Active,Implausible,The supper cooked the lady.,The supper was cooked by the lady.,AI
46,Passive,Plausible,The supper was cooked by the lady.,The supper was cooked by the lady.,AI
46,Passive,Implausible,The lady was cooked by the supper.,The supper was cooked by the lady.,AI
47,Active,Plausible,The woman prepared the dinner.,The dinner was prepared by the woman.,AI
47,Active,Implausible,The dinner prepared the woman.,The dinner was prepared by the woman.,AI
47,Passive,Plausible,The dinner was prepared by the woman.,The dinner was prepared by the woman.,AI
47,Passive,Implausible,The woman was prepared by the dinner.,The dinner was prepared by the woman.,AI
48,Active,Plausible,The agent failed the mission.,The agent failed the mission.,AI
48,Active,Implausible,The mission failed the agent.,The agent failed the mission.,AI
48,Passive,Plausible,The mission was failed by the agent.,The agent failed the mission.,AI
48,Passive,Implausible,The agent was failed by the mission.,The agent failed the mission.,AI
49,Active,Plausible,The operative blew the assignment.,The operative blew the assignment.,AI
49,Active,Implausible,The assignment blew the operative.,The operative blew the assignment.,AI
49,Passive,Plausible,The assignment was blown by the operative.,The operative blew the assignment.,AI
49,Passive,Implausible,The operative was blown by the assignment.,The operative blew the assignment.,AI
50,Active,Plausible,The teacher bought the laptop.,The laptop was bought by the teacher.,AI
50,Active,Implausible,The laptop bought the teacher.,The laptop was bought by the teacher.,AI
50,Passive,Plausible,The laptop was bought by the teacher.,The laptop was bought by the teacher.,AI
50,Passive,Implausible,The teacher was bought by the laptop.,The laptop was bought by the teacher.,AI
51,Active,Plausible,The instructor purchased the computer.,The computer was purchased by the instructor.,AI
51,Active,Implausible,The computer purchased the instructor.,The computer was purchased by the instructor.,AI
51,Passive,Plausible,The computer was purchased by the instructor.,The computer was purchased by the instructor.,AI
51,Passive,Implausible,The instructor was purchased by the computer.,The computer was purchased by the instructor.,AI
52,Active,Plausible,The anchorman garbled the expression.,The anchorman garbled the expression.,AI
52,Active,Implausible,The expression garbled the anchorman.,The anchorman garbled the expression.,AI
52,Passive,Plausible,The expression was garbled by the anchorman.,The anchorman garbled the expression.,AI
52,Passive,Implausible,The anchorman was garbled by the expression.,The anchorman garbled the expression.,AI
53,Active,Plausible,The announcer mispronounced the word.,The announcer mispronounced the word.,AI
53,Active,Implausible,The word mispronounced the announcer.,The announcer mispronounced the word.,AI
53,Passive,Plausible,The word was mispronounced by the announcer.,The announcer mispronounced the word.,AI
53,Passive,Implausible,The announcer was mispronounced by the word.,The announcer mispronounced the word.,AI
54,Active,Plausible,The hoarder hid the stash.,The stash was hidden by the hoarder.,AI
54,Active,Implausible,The stash hid the hoarder.,The stash was hidden by the hoarder.,AI
54,Passive,Plausible,The stash was hidden by the hoarder.,The stash was hidden by the hoarder.,AI
54,Passive,Implausible,The hoarder was hidden by the stash.,The stash was hidden by the hoarder.,AI
55,Active,Plausible,The packrat concealed the stockpile.,The stockpile was concealed by the packrat.,AI
55,Active,Implausible,The stockpile concealed the packrat.,The stockpile was concealed by the packrat.,AI
55,Passive,Plausible,The stockpile was concealed by the packrat.,The stockpile was concealed by the packrat.,AI
55,Passive,Implausible,The packrat was concealed by the stockpile.,The stockpile was concealed by the packrat.,AI
56,Active,Plausible,The financier sponsored the project.,The financier sponsored the project.,AI
56,Active,Implausible,The project sponsored the financier.,The financier sponsored the project.,AI
56,Passive,Plausible,The project was sponsored by the financier.,The financier sponsored the project.,AI
56,Passive,Implausible,The financier was sponsored by the project.,The financier sponsored the project.,AI
57,Active,Plausible,The banker funded the program.,The banker funded the program.,AI
57,Active,Implausible,The program funded the banker.,The banker funded the program.,AI
57,Passive,Plausible,The program was funded by the banker.,The banker funded the program.,AI
57,Passive,Implausible,The banker was funded by the program.,The banker funded the program.,AI
58,Active,Plausible,The maid lifted the cushion.,The cushion was lifted by the maid.,AI
58,Active,Implausible,The cushion lifted the maid.,The cushion was lifted by the maid.,AI
58,Passive,Plausible,The cushion was lifted by the maid.,The cushion was lifted by the maid.,AI
58,Passive,Implausible,The maid was lifted by the cushion.,The cushion was lifted by the maid.,AI
59,Active,Plausible,The tourist exited the bus.,The tourist exited the bus.,AI
59,Active,Implausible,The bus exited the tourist.,The tourist exited the bus.,AI
59,Passive,Plausible,The bus was exited by the tourist.,The tourist exited the bus.,AI
59,Passive,Implausible,The tourist was exited by the bus.,The tourist exited the bus.,AI
60,Active,Plausible,The vacationer left the shuttle.,The vacationer left the shuttle.,AI
60,Active,Implausible,The shuttle left the vacationer.,The vacationer left the shuttle.,AI
60,Passive,Plausible,The shuttle was left by the vacationer.,The vacationer left the shuttle.,AI
60,Passive,Implausible,The vacationer was left by the shuttle.,The vacationer left the shuttle.,AI
61,Active,Plausible,The mentor revised the manuscript.,The manuscript was revised by the mentor.,AI
61,Active,Implausible,The manuscript revised the mentor.,The manuscript was revised by the mentor.,AI
61,Passive,Plausible,The manuscript was revised by the mentor.,The manuscript was revised by the mentor.,AI
61,Passive,Implausible,The mentor was revised by the manuscript.,The manuscript was revised by the mentor.,AI
62,Active,Plausible,The advisor edited the paper.,The paper was edited by the advisor.,AI
