"ItemNum","meanAccuracy","Plausible","Implausible"
"4",0.333333333333333,"The ant stacked the supply.","The ant stacked the suitcase."
"29",0.333333333333333,"The blacksmith poured the metal.","The blacksmith poured the wine."
"39",0.333333333333333,"The businessman wore the tie.","The businessman wore the uniform."
"49",0.333333333333333,"The carver built the sculpture.","The carver built the house."
"58",0.333333333333333,"The chemist poured the compound.","The chemist poured the juice."
"62",0.333333333333333,"The child celebrated the birthday.","The child celebrated the victory."
"63",0.333333333333333,"The child chased the toy.","The child chased the thief."
"65",0,"The child crossed the park.","The child crossed the river."
"66",0.333333333333333,"The child cut the paper.","The child cut the tree."
"68",0,"The child drew the flower.","The child drew the horse."
"85",0.333333333333333,"The coach checked the team.","The coach checked the car."
"97",0.333333333333333,"The cook mixed the ingredient.","The cook mixed the paint."
"100",0.333333333333333,"The crew loaded the container.","The crew loaded the stroller."
"111",0.333333333333333,"The demonstrator threw the stone.","The demonstrator threw the frisbee."
"118",0.333333333333333,"The doctor wrote the diagnosis.","The doctor wrote the conjugation."
"125",0,"The dog pulled the sled.","The dog pulled the trigger."
"128",0.333333333333333,"The employee passed the report.","The employee passed the rifle."
"144",0.333333333333333,"The footballer delivered the kick.","The footballer delivered the lecture."
"153",0.333333333333333,"The general sent the soldier.","The general sent the postcard."
"163",0,"The guest held the drink.","The guest held the camera."
"165",0.333333333333333,"The guide described the monument.","The guide described the software."
"170",0.333333333333333,"The hiker faced the mountain.","The hiker faced the camera."
"195",0,"The magician read the hand.","The magician read the newspaper."
"196",0.333333333333333,"The manager rented the room.","The manager rented the kayak."
"205",0,"The mechanic spread the coating.","The mechanic spread the chocolate."
"223",0.333333333333333,"The nurse pushed the wheelchair.","The nurse pushed the mower."
"224",0.333333333333333,"The nurse washed the infant.","The nurse washed the car."
"234",0.333333333333333,"The patient fought the cancer.","The patient fought the fire."
"240",0.333333333333333,"The photographer used the camera.","The photographer used the stethoscope."
"251",0,"The poet wrote the sonet.","The poet wrote the menu."
"257",0.333333333333333,"The policeman pushed the demonstrator.","The policeman pushed the stroller."
"261",0,"The porter stacked the suitcase.","The porter stacked the wood."
"273",0,"The professor opened the congress.","The professor opened the jail."
"274",0.333333333333333,"The professor taught the language.","The professor taught the karate."
"283",0.333333333333333,"The receiver caught the baseball.","The receiver caught the wave."
"289",0,"The sailor faced the ocean.","The sailor faced the wall."
"291",0.333333333333333,"The sailor tied the rope.","The sailor tied the necktie."
"294",0.333333333333333,"The scoutmaster assembled the tent.","The scoutmaster assembled the sailboat."
"296",0.333333333333333,"The sculptor taught the art.","The sculptor taught the skydiving."
"325",0.333333333333333,"The soldier wore the uniform.","The soldier wore the pajamas."
"329",0,"The spectator heard the speech.","The spectator heard the horn."
"332",0.333333333333333,"The spy passed the information.","The spy passed the frisbee."
"337",0.333333333333333,"The student drank the coffee.","The student drank the milk."
"347",0.333333333333333,"The surfer flipped the board.","The surfer flipped the pancake."
"348",0.333333333333333,"The surfer grabbed the board.","The surfer grabbed the frisbee."
"351",0.333333333333333,"The surfer wore the swimsuit.","The surfer wore the tuxedo."
"371",0.333333333333333,"The traveller handed the bag.","The traveller handed the screwdriver."
"390",0.333333333333333,"The waiter opened the bottle.","The waiter opened the sarcophagus."
