SentenceNum,InputSent,PredictedSeq,PredictedToken,PredictedTokenId,Score,IsVerb
1,The criminal is <mask> the cop.,The criminal is blaming the cop.,blaming,15249,0.05602741613984108,1
3,The child is <mask> the babysitter.,The child is suing the babysitter.,suing,15449,0.10015608370304108,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is performing a stethoscope on the doctor.,performing,4655,0.2677396833896637,1
7,The grandmother is <mask> the fireman.,The grandmother is assisting the fireman.,assisting,13390,0.45129936933517456,1
9,The patient is <mask> the dentist.,The patient is suing the dentist.,suing,15449,0.31291988492012024,1
11,The girl is <mask> the ghost.,The girl is chasing the ghost.,chasing,11277,0.05163570120930672,1
13,The baby is <mask> the mother.,The baby is killing the mother.,killing,2429,0.018772665411233902,1
15,The businessman is <mask> the artist.,The businessman is suing the artist.,suing,15449,0.4093344211578369,1
17,The bride is <mask> the groom.,The bride is marrying the groom.,marrying,27372,0.02492925524711609,1
19,The king is <mask> the jester.,The king is crowned the jester.,crowned,19061,0.02176930010318756,1
21,The Safari guide <mask> pouncing on the lion.,The Safari guide recommends pouncing on the lion.,recommends,10827,0.19269944727420807,1
23,The model is <mask> a picture of the photographer.,The model is taking a picture of the photographer.,taking,602,0.08212966471910477,1
25,The princess is <mask> the pirate.,The princess is playing the pirate.,playing,816,0.031707823276519775,1
27,The bride is <mask> the priest.,The bride is marrying the priest.,marrying,27372,0.0899047702550888,1
29,The snorkeler is <mask> the shark.,The snorkeler is circling the shark.,circling,33633,0.09422863274812698,1
31,The student is <mask> to the professor.,The student is reporting to the professor.,reporting,2207,0.12175780534744263,1
33,The woman is <mask> the vampire.,The woman is killing the vampire.,killing,2429,0.02913092076778412,1
35,The customer is <mask> the waiter.,The customer is thanking the waiter.,thanking,22787,0.044248953461647034,1
37,The beggar is <mask> money to the lawyer.,The beggar is donating money to the lawyer.,donating,16831,0.20039846003055573,1
39,The lady is <mask> for the chef.,The lady is waiting for the chef.,waiting,2445,0.7041049003601074,1
41,The grandpa is <mask> for the ballerina.,The grandpa is waiting for the ballerina.,waiting,2445,0.32826903462409973,1
43,The sportsstar is <mask> the journalist.,The sportsstar is suing the journalist.,suing,15449,0.1023995503783226,1
45,The criminal is <mask> the judge.,The criminal is suing the judge.,suing,15449,0.6551716923713684,1
47,The child is <mask> the father on the sled.,The child is accompanying the father on the sled.,accompanying,14539,0.23518800735473633,1
49,The girl is <mask> Santa a present.,The girl is giving Santa a present.,giving,1311,0.5940099358558655,1
51,The queen is <mask> to the peasant.,The queen is sacrificed to the peasant.,sacrificed,26936,0.03574598953127861,1
53,The athlete is <mask> the lad.,The athlete is chasing the lad.,chasing,11277,0.03378136083483696,1
55,The son is <mask> the father's shoes.,The son is wearing the father's shoes.,wearing,2498,0.38877227902412415,1
57,The grandma is <mask> the purse from the thief.,The grandma is retrieving the purse from the thief.,retrieving,43175,0.2106863409280777,1
59,The mouse is <mask> the cat.,The mouse is chasing the cat.,chasing,11277,0.1355348825454712,1
61,The patient is <mask> the visitor.,The patient is assisting the visitor.,assisting,13390,0.028504757210612297,1
63,The patient is <mask> flowers to the relative.,The patient is delivering flowers to the relative.,delivering,5830,0.1567174792289734,1
65,The worker is <mask> at the boss.,The worker is yelling at the boss.,yelling,16600,0.21668025851249695,1
67,The blind person <mask> leading the dog.,The blind person begins leading the dog.,begins,3772,0.005064042285084724,1
69,The woman is <mask> the bouncer from entering.,The woman is blocking the bouncer from entering.,blocking,8890,0.44445762038230896,1
71,The girl is <mask> the dog on the face.,The girl is slapping the dog on the face.,slapping,33640,0.398560106754303,1
73,The woman is <mask> to the man.,The woman is handcuffed to the man.,handcuffed,27706,0.11944068968296051,1
75,The princess is <mask> the tailor.,The princess is assisting the tailor.,assisting,13390,0.0463651604950428,1
77,The grandmother is <mask> the lifeguard.,The grandmother is assisting the lifeguard.,assisting,13390,0.32921603322029114,1
79,The lady is <mask> the door for the chauffeur.,The lady is opening the door for the chauffeur.,opening,1273,0.2508529722690582,1
