ItemNum,Voice,Plausibility,Sentence,TrialType,agent_freq,patient_freq,sentence_freq,verb_freq,NumWords
1,active,plausible,The raider caught the illness.,AI,6.871091295,9.653614941,10.84245888,8.193953024,5
1,active,implausible,The illness caught the raider.,AI,9.653614941,6.871091295,10.84245888,8.193953024,5
1,passive,plausible,The illness was caught by the raider.,AI,6.871091295,9.653614941,11.34340742,8.193953024,7
1,passive,implausible,The raider was caught by the illness.,AI,9.653614941,6.871091295,11.34340742,8.193953024,7
2,active,plausible,The marauder contracted the disease.,AI,7.11395611,11.07652681,11.10449228,11.49012756,5
2,active,implausible,The disease contracted the marauder.,AI,11.07652681,7.11395611,11.10449228,11.49012756,5
2,passive,plausible,The disease was contracted by the marauder.,AI,7.11395611,11.07652681,11.53057413,11.49012756,7
2,passive,implausible,The marauder was contracted by the disease.,AI,11.07652681,7.11395611,11.53057413,11.49012756,7
3,active,plausible,The convict dreaded the prison.,AI,10.38263673,10.92222656,11.60318838,9.995793223,5
3,active,implausible,The prison dreaded the convict.,AI,10.92222656,10.38263673,11.60318838,9.995793223,5
3,passive,plausible,The prison was dreaded by the convict.,AI,10.38263673,10.92222656,11.88678563,9.995793223,7
3,passive,implausible,The convict was dreaded by the prison.,AI,10.92222656,10.38263673,11.88678563,9.995793223,7
4,active,plausible,The criminal feared the jail.,AI,10.07483242,9.992276515,11.50477123,11.13217736,5
4,active,implausible,The jail feared the criminal.,AI,9.992276515,10.07483242,11.50477123,11.13217736,5
4,passive,plausible,The jail was feared by the criminal.,AI,10.07483242,9.992276515,11.81648766,11.13217736,7
4,passive,implausible,The criminal was feared by the jail.,AI,9.992276515,10.07483242,11.81648766,11.13217736,7
5,active,plausible,The prostitute squandered the cash.,AI,8.633196867,10.36741023,11.00991983,8.718990525,5
5,active,implausible,The cash squandered the prostitute.,AI,10.36741023,8.633196867,11.00991983,8.718990525,5
5,passive,plausible,The cash was squandered by the prostitute.,AI,8.633196867,10.36741023,11.46302238,8.718990525,7
5,passive,implausible,The prostitute was squandered by the cash.,AI,10.36741023,8.633196867,11.46302238,8.718990525,7
6,active,plausible,The call girl wasted the money.,AI,6.216606101,11.14158638,11.8328724,10.83987499,6
6,active,implausible,The money wasted the call girl.,AI,11.14158638,6.216606101,11.8328724,10.83987499,6
6,passive,plausible,The money was wasted by the call girl.,AI,6.216606101,11.14158638,12.02359899,10.83987499,8
6,passive,implausible,The call girl was wasted by the money.,AI,11.14158638,6.216606101,12.02359899,10.83987499,8
7,active,plausible,The adventurer requested the beverage.,AI,8.103494278,8.118802997,10.8431552,10.31486846,5
7,active,implausible,The beverage requested the adventurer.,AI,8.118802997,8.103494278,10.8431552,10.31486846,5
7,passive,plausible,The beverage was requested by the adventurer.,AI,8.103494278,8.118802997,11.34390478,10.31486846,7
7,passive,implausible,The adventurer was requested by the beverage.,AI,8.118802997,8.103494278,11.34390478,10.31486846,7
8,active,plausible,The undertaker prepared the funeral.,AI,7.614805365,9.224736252,11.1342941,11.27762077,5
8,active,implausible,The funeral prepared the undertaker.,AI,9.224736252,7.614805365,11.1342941,11.27762077,5
8,passive,plausible,The funeral was prepared by the undertaker.,AI,7.614805365,9.224736252,11.55186114,11.27762077,7
8,passive,implausible,The undertaker was prepared by the funeral.,AI,9.224736252,7.614805365,11.55186114,11.27762077,7
9,active,plausible,The mortician arranged the burial.,AI,6.720220155,9.068431126,10.61632597,10.71798916,5
9,active,implausible,The burial arranged the mortician.,AI,9.068431126,6.720220155,10.61632597,10.71798916,5
9,passive,plausible,The burial was arranged by the mortician.,AI,6.720220155,9.068431126,11.1818839,10.71798916,7
9,passive,implausible,The mortician was arranged by the burial.,AI,9.068431126,6.720220155,11.1818839,10.71798916,7
10,active,plausible,The supervisor supplied the liquor.,AI,8.805974659,9.546812609,11.22039822,11.09201672,5
10,active,implausible,The liquor supplied the supervisor.,AI,9.546812609,8.805974659,11.22039822,11.09201672,5
10,passive,plausible,The liquor was supplied by the supervisor.,AI,8.805974659,9.546812609,11.61336408,11.09201672,7
10,passive,implausible,The supervisor was supplied by the liquor.,AI,9.546812609,8.805974659,11.61336408,11.09201672,7
11,active,plausible,The overseer provided the alcohol.,AI,8.430763463,10.27732439,11.55319089,11.14755569,5
11,active,implausible,The alcohol provided the overseer.,AI,10.27732439,8.430763463,11.55319089,11.14755569,5
11,passive,plausible,The alcohol was provided by the overseer.,AI,8.430763463,10.27732439,11.85107314,11.14755569,7
11,passive,implausible,The overseer was provided by the alcohol.,AI,10.27732439,8.430763463,11.85107314,11.14755569,7
12,active,plausible,The troublemaker crashed the car.,AI,6.586171655,14.1218468,11.25074856,9.108639817,5
12,active,implausible,The car crashed the troublemaker.,AI,14.1218468,6.586171655,11.25074856,9.108639817,5
12,passive,plausible,The car was crashed by the troublemaker.,AI,6.586171655,14.1218468,11.6350429,9.108639817,7
