Sentence,TrialType,SynonymPair,NumSyn
The raider caught the illness.,AI,1,Version1
The marauder contracted the disease.,AI,1,Version2
The convict dreaded the prison.,AI,2,Version1
The criminal feared the jail.,AI,2,Version2
The prostitute squandered the cash.,AI,3,Version1
The call girl wasted the money.,AI,3,Version2
The undertaker prepared the funeral.,AI,4,Version1
The mortician arranged the burial.,AI,4,Version2
The supervisor supplied the liquor.,AI,5,Version1
The overseer provided the alcohol.,AI,5,Version2
The troublemaker crashed the car.,AI,6,Version1
The hooligan wrecked the vehicle.,AI,6,Version2
The repairman fixed the tap.,AI,7,Version1
The handyman repaired the faucet.,AI,7,Version2
The secretary organized the desk.,AI,8,Version1
The receptionist tidied the table.,AI,8,Version2
The pilot steered the airplane.,AI,9,Version1
The aviator maneuvered the jet.,AI,9,Version2
The chef sauteed the squid.,AI,10,Version1
The cook grilled the octopus.,AI,10,Version2
The ship captain promised the triumph.,AI,11,Version1
The skipper guaranteed the victory.,AI,11,Version2
The milliner adorned the fedora.,AI,12,Version1
The hatter decorated the bowler.,AI,12,Version2
The serviceman hoisted the flag.,AI,13,Version1
The soldier raised the banner.,AI,13,Version2
The agent failed the mission.,AI,14,Version1
The operative blew the assignment.,AI,14,Version2
The anchorman garbled the expression.,AI,15,Version1
The announcer mispronounced the word.,AI,15,Version2
The author finished the novel.,AI,16,Version1
The writer completed the book.,AI,16,Version2
The financier sponsored the project.,AI,17,Version1
The banker funded the program.,AI,17,Version2
The tourist exited the bus.,AI,18,Version1
The vacationer left the shuttle.,AI,18,Version2
The dietitian loathed the jam.,AI,19,Version1
The nutritionist detested the marmalade.,AI,19,Version2
The scientist discovered the cure.,AI,20,Version1
The researcher found the remedy.,AI,20,Version2
The designer suggested the drapes.,AI,21,Version1
The decorator recommended the curtains.,AI,21,Version2
The builder washed the pants.,AI,22,Version1
The contractor laundered the trousers.,AI,22,Version2
The servant wiped the sink.,AI,23,Version1
The domestic cleaned the wash basin.,AI,23,Version2
The convalescent took the pill.,AI,24,Version1
The patient swallowed the medicine.,AI,24,Version2
The hoarder hid the stash.,AI,25,Version1
The packrat concealed the stockpile.,AI,25,Version2
The reporter abandoned the story.,AI,26,Version1
The journalist ditched the article.,AI,26,Version2
The carnivore ate the steak.,AI,27,Version1
The meat-eater devoured the filet.,AI,27,Version2
The teacher bought the laptop.,AI,28,Version1
The instructor purchased the computer.,AI,28,Version2
The lady cooked the supper.,AI,29,Version1
The woman prepared the dinner.,AI,29,Version2
The traveler lost the souvenir.,AI,30,Version1
The sightseer misplaced the memento.,AI,30,Version2
The comedian confirmed the itinerary.,AI,31,Version1
The humorist verified the schedule.,AI,31,Version2
The townsperson farmed the grain.,AI,32,Version1
The villager cultivated the crop.,AI,32,Version2
The mentor revised the manuscript.,AI,33,Version1
The advisor edited the paper.,AI,33,Version2
The accountant made the chart.,AI,34,Version1
The bookkeeper created the graph.,AI,34,Version2
The tycoon ran the company.,AI,35,Version1
The mogul governed the corporation.,AI,35,Version2
The campaigner biased the ballot.,AI,36,Version1
The activist prejudiced the vote.,AI,36,Version2
The stewardess pulled the suitcase.,AI,37,Version1
The flight-attendant dragged the luggage.,AI,37,Version2
The congressman delivered the speech.,AI,38,Version1
The representative gave the address.,AI,38,Version2
The sheriff inspected the estate.,AI,39,Version1
The constable examined the property.,AI,39,Version2
The celebrity signed the photograph.,AI,40,Version1
The star autographed the picture.,AI,40,Version2
The nanny tutored the boy.,AAN,41,Version1
The governess instructed the lad.,AAN,41,Version2
The blackmailer threatened the senator.,AAN,42,Version1
The extortionist menaced the legislator.,AAN,42,Version2
The artist portrayed the philosopher.,AAN,43,Version1
The painter depicted the thinker.,AAN,43,Version2
The mechanic berated the intern.,AAN,44,Version1
The technician rebuked the aide.,AAN,44,Version2
The fairy enchanted the troll.,AAN,45,Version1
The pixie mesmerized the ogre.,AAN,45,Version2
The orderly assisted the dentist.,AAN,46,Version1
The nurse helped the orthodontist.,AAN,46,Version2
The owner evicted the tenant.,AAN,47,Version1
The proprietor dislodged the renter.,AAN,47,Version2
The critic attacked the conservative.,AAN,48,Version1
The reviewer criticized the right-winger.,AAN,48,Version2
The admirer badgered the director.,AAN,49,Version1
The fan pestered the filmmaker.,AAN,49,Version2
The paramedic revived the youth.,AAN,50,Version1
The EMT resuscitated the youngster.,AAN,50,Version2
The prankster duped the marketer.,AAN,51,Version1
The joker tricked the distributor.,AAN,51,Version2
The playboy courted the damsel.,AAN,52,Version1
The womanizer wooed the maiden.,AAN,52,Version2
The nomad cherished the clergyman.,AAN,53,Version1
The vagabond revered the priest.,AAN,53,Version2
The assassin shot the statesman.,AAN,54,Version1
The hit man killed the politician.,AAN,54,Version2
The clerk charged the elderly person.,AAN,55,Version1
The cashier billed the senior citizen.,AAN,55,Version2
The mediator rescued the hostage.,AAN,56,Version1
The negotiator saved the captive.,AAN,56,Version2
The detective found the assailant.,AAN,57,Version1
The sleuth located the attacker.,AAN,57,Version2
The artisan trained the apprentice.,AAN,58,Version1
The craftsman taught the trainee.,AAN,58,Version2
The biker defied the trainer.,AAN,59,Version1
The cyclist disobeyed the coach.,AAN,59,Version2
The speaker engrossed the audience.,AAN,60,Version1
The orator captivated the spectators.,AAN,60,Version2
The genius shocked the cousin.,AAN,61,Version1
The prodigy surprised the relative.,AAN,61,Version2
The amateur irked the maestro.,AAN,62,Version1
The novice irritated the virtuoso.,AAN,62,Version2
The lawyer questioned the witness.,AAN,63,Version1
The attorney interrogated the bystander.,AAN,63,Version2
The singer disappointed the enthusiast.,AAN,64,Version1
The vocalist disillusioned the connoisseur.,AAN,64,Version2
The chauffeur drove the diplomat.,AAN,65,Version1
The driver transported the ambassador.,AAN,65,Version2
The guard apprehended the prisoner.,AAN,66,Version1
The warden caught the inmate.,AAN,66,Version2
The tailor costumed the dancer.,AAN,67,Version1
