,ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
0,1,active,plausible,The raider caught the illness.,The raider caught the illness.,AI
1,1,active,implausible,The illness caught the raider.,The raider caught the illness.,AI
2,1,passive,plausible,The illness was caught by the raider.,The raider caught the illness.,AI
3,1,passive,implausible,The raider was caught by the illness.,The raider caught the illness.,AI
4,2,active,plausible,The marauder contracted the disease.,The marauder contracted the disease.,AI
5,2,active,implausible,The disease contracted the marauder.,The marauder contracted the disease.,AI
6,2,passive,plausible,The disease was contracted by the marauder.,The marauder contracted the disease.,AI
7,2,passive,implausible,The marauder was contracted by the disease.,The marauder contracted the disease.,AI
8,3,active,plausible,The convict dreaded the prison.,The convict dreaded prison.,AI
9,3,active,implausible,The prison dreaded the convict.,The convict dreaded prison.,AI
10,3,passive,plausible,The prison was dreaded by the convict.,The convict dreaded prison.,AI
11,3,passive,implausible,The convict was dreaded by the prison.,The convict dreaded prison.,AI
12,4,active,plausible,The criminal feared the jail.,The criminal feared jail.,AI
13,4,active,implausible,The jail feared the criminal.,The criminal feared jail.,AI
14,4,passive,plausible,The jail was feared by the criminal.,The criminal feared jail.,AI
15,4,passive,implausible,The criminal was feared by the jail.,The criminal feared jail.,AI
16,5,active,plausible,The prostitute squandered the cash.,The prostitute squandered the cash.,AI
17,5,active,implausible,The cash squandered the prostitute.,The prostitute squandered the cash.,AI
18,5,passive,plausible,The cash was squandered by the prostitute.,The prostitute squandered the cash.,AI
19,5,passive,implausible,The prostitute was squandered by the cash.,The prostitute squandered the cash.,AI
20,6,active,plausible,The call girl wasted the money.,The call girl wasted the money.,AI
21,6,active,implausible,The money wasted the call girl.,The call girl wasted the money.,AI
22,6,passive,plausible,The money was wasted by the call girl.,The call girl wasted the money.,AI
23,6,passive,implausible,The call girl was wasted by the money.,The call girl wasted the money.,AI
24,7,active,plausible,The adventurer requested the beverage.,The adventurer requested a beverage.,AI
25,7,active,implausible,The beverage requested the adventurer.,The adventurer requested a beverage.,AI
26,7,passive,plausible,The beverage was requested by the adventurer.,The adventurer requested a beverage.,AI
27,7,passive,implausible,The adventurer was requested by the beverage.,The adventurer requested a beverage.,AI
28,8,active,plausible,The undertaker prepared the funeral.,The undertaker prepared the funeral.,AI
29,8,active,implausible,The funeral prepared the undertaker.,The undertaker prepared the funeral.,AI
30,8,passive,plausible,The funeral was prepared by the undertaker.,The undertaker prepared the funeral.,AI
31,8,passive,implausible,The undertaker was prepared by the funeral.,The undertaker prepared the funeral.,AI
32,9,active,plausible,The mortician arranged the burial.,The mortician arranged the burial.,AI
33,9,active,implausible,The burial arranged the mortician.,The mortician arranged the burial.,AI
