"Index","TrialType","number_ANNs_correct","human_score_difference","Plausible","Implausible"
1,"AAN",0,-0.06,"The critic attacked the conservative.","The conservative attacked the critic."
2,"AAN",0,-0.05,"The admirer badgered the director.","The director badgered the admirer."
3,"AAN",0,0.11,"The nomad cherished the clergyman.","The clergyman cherished the nomad."
4,"AAN",0,0.44,"The dressmaker attired the ballerina.","The ballerina attired the dressmaker."
5,"AAN",0,0.36,"The pessimist discouraged the contestant.","The contestant discouraged the pessimist."
6,"AAN",0,0.49,"The brunette tipped the busboy.","The busboy tipped the brunette."
7,"AAN",0,0.54,"The lion chased the tour-guide.","The tour-guide chased the lion."
8,"AAN",0,0.24,"The tennis player thanked the chiropractor.","The chiropractor thanked the tennis player."
9,"AAN",0,0.24,"The TV station head promoted the newsagent.","The newsagent promoted the TV station head."
10,"AAN",0.25,0.05,"The extortionist menaced the legislator.","The legislator menaced the extortionist."
11,"AAN",0.25,0.12,"The nurse helped the orthodontist.","The orthodontist helped the nurse."
12,"AAN",0.25,-0.04,"The reviewer criticized the right-winger.","The right-winger criticized the reviewer."
13,"AAN",0.25,0.14,"The playboy courted the damsel.","The damsel courted the playboy."
14,"AAN",0.25,0.73,"The artisan trained the apprentice.","The apprentice trained the artisan."
15,"AAN",0.25,0.1,"The genius shocked the cousin.","The cousin shocked the genius."
16,"AAN",0.25,0.06,"The prodigy surprised the relative.","The relative surprised the prodigy."
17,"AAN",0.25,0.73,"The chauffeur drove the diplomat.","The diplomat drove the chauffeur."
18,"AAN",0.25,0.35,"The policeman subdued the rabble-rouser.","The rabble-rouser subdued the policeman."
19,"AAN",0.25,0.42,"The king exiled the rebel.","The rebel exiled the king."
20,"AAN",0.25,0.31,"The monarch banished the insurgent.","The insurgent banished the monarch."
21,"AAN",0.25,0.1,"The windbag taunted the recluse.","The recluse taunted the windbag."
22,"AAN",0.25,0.26,"The impersonator conned the inspector.","The inspector conned the impersonator."
23,"AAN",0.25,0.04,"The arsonist alarmed the vendor.","The vendor alarmed the arsonist."
24,"AAN",0.25,0.17,"The entrepreneur hired the specialist.","The specialist hired the entrepreneur."
25,"AAN",0.25,0.36,"The terrorist petrified the first lady.","The first lady petrified the terrorist."
26,"AAN",0.25,0.1,"The judge praised the gold medalist.","The gold medalist praised the judge."
27,"AAN",0.25,-0.01,"The liar emulated the victor.","The victor emulated the liar."
28,"AAN",0.25,0.16,"The environmentalist cautioned the tobacconist.","The tobacconist cautioned the environmentalist."
29,"AAN",0.25,0.29,"The alcoholic hassled the guest.","The guest hassled the alcoholic."
30,"AAN",0.25,0.11,"The drunk bothered the visitor.","The visitor bothered the drunk."
31,"AAN",0.25,0.44,"The barber shaved the old man.","The old man shaved the barber."
32,"AAN",0.25,0.11,"The streetwalker undercharged the seaman.","The seaman undercharged the streetwalker."
33,"AAN",0.25,0.68,"The masseuse relaxed the linebacker.","The linebacker relaxed the masseuse."
34,"AAN",0.25,0.31,"The miscreant kidnapped the beneficiary.","The beneficiary kidnapped the miscreant."
35,"AI",0.25,0.94,"The secretary organized the desk.","The desk organized the secretary."
36,"AI",0.25,0.92,"The cook grilled the octopus.","The octopus grilled the cook."
37,"AI",0.25,0.17,"The hatter decorated the bowler.","The bowler decorated the hatter."
38,"AI",0.25,0.73,"The operative blew the assignment.","The assignment blew the operative."
39,"AI",0.25,0.68,"The nutritionist detested the marmalade.","The marmalade detested the nutritionist."
40,"AI",0.25,0.74,"The journalist ditched the article.","The article ditched the journalist."
41,"AI",0.25,0.87,"The meat-eater devoured the filet.","The filet devoured the meat-eater."
