WorkerId,na.pct,n,implausible,plausible,Answer.English,Answer.country,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,HITId,AssignmentStatus,AssignmentId,filler.left,filler.right,diff,Use
A1BDPHQIAOC1WB,0.018518519,54,3.5,4.5,yes,USA,"When I was younger, I would go to school and i learning my subject.","It's raining tomorrow, so i am not going outside.",1402,good,38G0E1M85M5L5VJDQN7U41AUA5NUVV,Approved,3VNL7UK1XFJJV5GRG5HH63GSOOHFT0,7,1,1,TRUE
AG9LMLEPXP2YC,0,54,3.625,4.625,yes,USA,"When I was younger, I would go to school and eat the school lunch.","It's raining tomorrow, so I will make sure to bring an umbrella.",1898,{},3OZ4VAIBEXFCRF8JEO3GXZ1JTPPJVO,Approved,3KYQYYSHYV76KTXNTI0SOT7KD0LDOW,2,1,1,
A3UP4PP3ZF1J39,0.018518519,54,3.714285714,4.75,yes,USA,"When I was younger, I would go to school and learn four language skills","It's raining tomorrow, so we must wait",850,it is an interesting survey although it is very demanding and involved critical thinking,3PA41K45VN4620ALR35KOH7SG6O7PK,Approved,3HUTX6F6VUNJHJZ7WTGBSAGGGC12ON,7,1,1.035714286,TRUE
A2JSMMELB161IW,0,54,4.4,5.5,yes,USA,"When I was younger, I would go to school and church for meet with my teacher","It's raining tomorrow, so I was there in my dreams;it will be raining the following day, I had been there before.",2477,Nice and interesting survey! Thanks for giving to this wonderful study.,3L4YG5VW9NSDUC85D7HBOF0ZOYODD5,Approved,3WSELTNVR32OZEZJ5PVPS251R84ATI,7,1,1.1,TRUE
A2ZLIHPKKU69QZ,0,54,3.5,4.625,yes,USA,"When I was younger, I would go to school and collage","It's raining tomorrow, so i can't come to school",3333,no comments,3YKP7CX6G2F4Y69B8YNJTX23Z297BZ,Rejected,304SM51WA34S3ORWM3QVD8TL74BSB0,7,1,1.125,TRUE
A47HX1N4QM1XQ,0,54,5.375,6.625,yes,USA,"When I was younger, I would go to school and spend a time with my friends.","It's raining tomorrow, so I can take a rest of my work.",3323,It was good to finished.,30IRMPJWDZJF9SXKNPYIXHCTN8CKRV,Rejected,3Y4W8Q93LZK1AD6KUUM6JL1S9TNVDL,7,1,1.25,TRUE
A1JJYY622DGE5L,0.018518519,54,2.125,3.5,yes,USA,"When I was younger, I would go to school and learn new things.","It's raining tomorrow, so I will take an umbrella.",1510,{},3GONHBMNHVYJ17JEII5BYX6WLTPZM5,Rejected,3UJ1CZ6IZHPQE8ANLTZIAMTTX8PS5Z,7,1,1.375,TRUE
A28VB70F9S8TJ9,0,54,3.75,5.125,yes,USA,"When I was younger, I would go to school and park","It's raining tomorrow, so come with Umberlla",938,good survey,3LVTFB9DE5IAV5M1KJO3UZAVK5TGQN,Rejected,3X1FV8S5JXR4MXGBWKNEP64PMLXVGP,7,1,1.375,TRUE
A2FFYLWXNYR0LE,0,54,3.125,4.5,yes,USA,"When I was younger, I would go to school and I got a lot of friends and had a good relationship with the teacher. I got more interested in the game.","It's raining tomorrow, so Go out only when absolutely necessary. Don't forget to carry an umbrella if necessary",2069,{},38EHZ67RIMSJAQO9SQHMDQQQA4WMG6,Approved,33JKGHPFYCUR623O5WZISUU9W7BMNH,7,1,1.375,TRUE
A2IM2TWRHHBTOO,0,54,2.375,3.75,yes,USA,"When I was younger, I would go to school and read and write.","It's raining tomorrow, so  I have to carry my umbrella.",887,Thank you,3XDJY5RK5SLMBI0Y6R67VBAHXLQ4UT,Approved,3JJVG1YBEBXRXMTLA7DNKXJTTN3B5N,7,1,1.375,TRUE
A2P93KBD3WXXTW,0,54,3.125,4.5,yes,USA,"When I was younger, I would go to school and studying well got awarded.","It's raining tomorrow, so I'll get leave from office.",1272,{},34R0BODSP1ZNI57CUWACWLUSBTR5EI,Approved,3Y4W8Q93LZK1AD6KUUM6JL1S9WIDV4,7,1,1.375,TRUE
A33T45FNLQC14X,0,54,2.4,3.8,yes,USA,"When I was younger, I would go to school and reading the book","It's raining tomorrow, so today prepared",1526,This is most attractive survey. this is most good.,3PN6H8C9R4QFW55TTXQ9YEST3VRDA3,Rejected,3QXNC7EIPIV9EMSNFHTFCWSCOCQ09C,7,1,1.4,TRUE
A2BDNO754C8EMN,0,54,4.4,5.9,yes,USA,"When I was younger, I would go to school and playing ground everyday evening.","It's raining tomorrow, so I'm not going to office",1114,none,34XASH8KLQMPN3H8V9797Z4IBVJMPA,Approved,3E13VNJ1NNV2WC68FU3S3UAPCXMI1P,7,1,1.5,TRUE
A1TRO537S2U7QV,0.018518519,54,3.875,5.428571429,yes,USA,"When I was younger, I would go to school and I learnt many things.","It's raining tomorrow, so we have to carry our umbrella with us.",2219,The survey is really confusing as well as interesting.,3OEWW2KGQJB4Y9ZU3GVRZ9CYSCVDO2,Rejected,3WS1NTTKEYCIFWJ0I3T7MSENRAL0F4,7,1,1.553571429,TRUE
A12UTVV3DW7YPX,0,54,4,4.125,yes,UK,"When I was younger, I would go to school and studied lot of courses.","It's raining tomorrow, so did not go to my job.",2676,THANK YOU,38EHZ67RIMSJAQO9SQHMDQQQA4WMG6,Rejected,3U0SRXB7CD5I3IGGA4VZETOJ2U5NR1,7,1,0.125,
A14LOABUGAITBM,0,54,5.25,6.875,yes,USA,"When I was younger, I would go to school and learn basic writing and reading for the first two years.","It's raining tomorrow, so i will dress heavy and carry an umbrella.",1527,none thank you.,371Q3BEXDH9MZ2WJ2F1XA652DI7ZSH,Approved,39PAAFCODM08R22HGKMLOPJECI4TV1,7,1,1.625,TRUE
A13ASIJ31D76UN,0,108,3.4375,3.4375,yes,USA,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",167,good,3XDJY5RK5SLMBI0Y6R67VBAHXLQ4UT,Rejected,3MX2NQ3YC9UYAPWMF3559UALCNRX5C,7,1,0,
