Item,Plausibility,Voice,n,m,stdev,se,upper,lower
1,implausible,active,16,2.9375,2.489143092177172,0.622285773044293,4.157180115166814,1.7178198848331858
1,implausible,passive,19,2.473684210526316,1.8669172764102495,0.42830019704328776,3.31315259673116,1.634215824321472
1,plausible,active,18,5.722222222222222,1.5264551613058028,0.35978893191217953,6.427408528770094,5.0170359156743505
1,plausible,passive,16,5.6875,1.6620770138594663,0.41551925346486657,6.501917736791139,4.873082263208861
2,implausible,active,20,1.3,1.3416407864998738,0.3,1.888,0.7120000000000001
2,implausible,passive,14,1.6428571428571428,1.499083969380217,0.4006470433875636,2.4281253478967675,0.8575889378175182
2,plausible,active,14,6,1.4675987714106855,0.39223227027636803,6.768775249741681,5.231224750258319
2,plausible,passive,13,5.846153846153846,0.8987170342729172,0.24925925763107157,6.334701991110746,5.357605701196945
3,implausible,active,18,4.277777777777778,2.1640255395784296,0.5100657112322617,5.277506571793011,3.278048983762545
3,implausible,passive,16,2.8125,2.0726392192886185,0.5181598048221546,3.828093217451423,1.796906782548577
3,plausible,active,19,6.526315789473684,1.2187617145935723,0.2796031131668285,7.074337891280668,5.9782936876667
3,plausible,passive,16,5.3125,2.4143667216615348,0.6035916804153837,6.495539693614152,4.129460306385848
4,implausible,active,13,1.3846153846153846,0.869718492622904,0.24121650925931767,1.8573997427636473,0.9118310264671219
4,implausible,passive,14,2.642857142857143,2.169974932756415,0.5799501954473091,3.779559525933869,1.506154759780417
4,plausible,active,20,6.8,0.5231483637805969,0.11697953037312035,7.029279879531316,6.570720120468684
4,plausible,passive,14,5.142857142857143,2.7416206003901262,0.7327289265129517,6.579005838822528,3.706708446891758
5,implausible,active,19,1.263157894736842,0.6533762964749499,0.14989480254943036,1.5569517077337256,0.9693640817399585
5,implausible,passive,16,1.75,1.570562531918633,0.39264063297965823,2.51957564064013,0.9804243593598698
5,plausible,active,16,6.875,0.3415650255319866,0.08539125638299665,7.042366862510673,6.707633137489327
5,plausible,passive,18,6,1.4142135623730951,0.33333333333333337,6.653333333333333,5.346666666666667
6,implausible,active,17,1,0,0,1,1
6,implausible,passive,17,1.1764705882352942,0.5285941398709244,0.12820291010413748,1.4277482920394036,0.9251928844311847
6,plausible,active,14,6.357142857142857,1.0082080720186268,0.2694549414338292,6.885274542353162,5.829011171932551
6,plausible,passive,15,6.533333333333333,0.990430401872025,0.25572803013519146,7.034560272398308,6.032106394268358
7,implausible,active,17,1.3529411764705883,1.2217393579743305,0.2963153188177924,1.9337192013534614,0.7721631515877152
7,implausible,passive,14,1,0,0,1,1
7,plausible,active,16,6.4375,1.2093386622447824,0.3023346655611956,7.030075944499943,5.844924055500057
7,plausible,passive,15,5.8,1.5675276256394517,0.40473389258811004,6.593278429472695,5.006721570527304
8,implausible,active,20,1.55,1.5719582155957412,0.35150054278613474,2.2389410638608243,0.861058936139176
8,implausible,passive,14,1.2142857142857142,0.5789342235218394,0.1547266795640519,1.517550006231256,0.9110214223401725
8,plausible,active,14,6.214285714285714,1.625686668105863,0.4344830378784442,7.065872468527465,5.362698960043963
8,plausible,passive,12,5.916666666666667,1.8319554050414562,0.5288399731220373,6.95319301398586,4.880140319347474
9,implausible,active,17,1.5294117647058822,1.5048939771136507,0.36499040135267224,2.2447929513571196,0.8140305780546446
9,implausible,passive,16,2.0625,2.1437894797142123,0.5359473699285531,3.112956845059964,1.012043154940036
9,plausible,active,16,6.875,0.3415650255319866,0.08539125638299665,7.042366862510673,6.707633137489327
9,plausible,passive,23,6.739130434782608,1.0538842141140996,0.21975004939000223,7.169840531587012,6.3084203379782045
10,implausible,active,18,1.7222222222222223,1.7423971167384031,0.41068693892187114,2.5271686225090897,0.917275821935355
10,implausible,passive,17,1.0588235294117647,0.24253562503633297,0.058823529411764705,1.1741176470588235,0.943529411764706
10,plausible,active,15,6.2,0.9411239481143202,0.24299715851758233,6.676274430694462,5.723725569305539
10,plausible,passive,14,5.214285714285714,2.006856379383569,0.5363549282939242,6.265541373741806,4.163030054829623
11,implausible,active,19,1.368421052631579,1.382852378872881,0.3172480933337741,1.9902273155657761,0.7466147896973818
11,implausible,passive,13,1,0,0,1,1
11,plausible,active,14,5.642857142857143,1.0818177620697815,0.28912795861368945,6.209547941739975,5.076166343974312
11,plausible,passive,17,6.0588235294117645,1.0880365478290537,0.26388762419009354,6.576043272824348,5.541603785999181
12,implausible,active,14,1.0714285714285714,0.2672612419124244,0.07142857142857144,1.2114285714285713,0.9314285714285714
