"ItemNum","Sentence","Plausibility","Voice","SynonymPair","NumSyn"
1,"The raider caught the illness.","Plausible","active",1,"Version1"
1,"The illness caught the raider.","Implausible","active",1,"Version1"
1,"The illness was caught by the raider.","Plausible","passive",1,"Version1"
1,"The raider was caught by the illness.","Implausible","passive",1,"Version1"
2,"The marauder contracted the disease.","Plausible","active",1,"Version2"
2,"The disease contracted the marauder.","Implausible","active",1,"Version2"
2,"The disease was contracted by the marauder.","Plausible","passive",1,"Version2"
2,"The marauder was contracted by the disease.","Implausible","passive",1,"Version2"
3,"The convict dreaded the prison.","Plausible","active",2,"Version1"
3,"The prison dreaded the convict.","Implausible","active",2,"Version1"
3,"The prison was dreaded by the convict.","Plausible","passive",2,"Version1"
3,"The convict was dreaded by the prison.","Implausible","passive",2,"Version1"
4,"The criminal feared the jail.","Plausible","active",2,"Version2"
4,"The jail feared the criminal.","Implausible","active",2,"Version2"
4,"The jail was feared by the criminal.","Plausible","passive",2,"Version2"
4,"The criminal was feared by the jail.","Implausible","passive",2,"Version2"
5,"The prostitute squandered the cash.","Plausible","active",3,"Version1"
5,"The cash squandered the prostitute.","Implausible","active",3,"Version1"
5,"The cash was squandered by the prostitute.","Plausible","passive",3,"Version1"
5,"The prostitute was squandered by the cash.","Implausible","passive",3,"Version1"
6,"The call girl wasted the money.","Plausible","active",3,"Version2"
6,"The money wasted the call girl.","Implausible","active",3,"Version2"
6,"The money was wasted by the call girl.","Plausible","passive",3,"Version2"
6,"The call girl was wasted by the money.","Implausible","passive",3,"Version2"
8,"The undertaker prepared the funeral.","Plausible","active",4,"Version2"
8,"The funeral prepared the undertaker.","Implausible","active",4,"Version2"
8,"The funeral was prepared by the undertaker.","Plausible","passive",4,"Version2"
8,"The undertaker was prepared by the funeral.","Implausible","passive",4,"Version2"
9,"The mortician arranged the burial.","Plausible","active",5,"Version1"
9,"The burial arranged the mortician.","Implausible","active",5,"Version1"
9,"The burial was arranged by the mortician.","Plausible","passive",5,"Version1"
9,"The mortician was arranged by the burial.","Implausible","passive",5,"Version1"
10,"The supervisor supplied the liquor.","Plausible","active",5,"Version2"
10,"The liquor supplied the supervisor.","Implausible","active",5,"Version2"
10,"The liquor was supplied by the supervisor.","Plausible","passive",5,"Version2"
10,"The supervisor was supplied by the liquor.","Implausible","passive",5,"Version2"
11,"The overseer provided the alcohol.","Plausible","active",6,"Version1"
11,"The alcohol provided the overseer.","Implausible","active",6,"Version1"
11,"The alcohol was provided by the overseer.","Plausible","passive",6,"Version1"
11,"The overseer was provided by the alcohol.","Implausible","passive",6,"Version1"
12,"The troublemaker crashed the car.","Plausible","active",6,"Version2"
12,"The car crashed the troublemaker.","Implausible","active",6,"Version2"
12,"The car was crashed by the troublemaker.","Plausible","passive",6,"Version2"
12,"The troublemaker was crashed by the car.","Implausible","passive",6,"Version2"
13,"The hooligan wrecked the vehicle.","Plausible","active",7,"Version1"
13,"The vehicle wrecked the hooligan.","Implausible","active",7,"Version1"
13,"The vehicle was wrecked by the hooligan.","Plausible","passive",7,"Version1"
13,"The hooligan was wrecked by the vehicle.","Implausible","passive",7,"Version1"
14,"The repairman fixed the tap.","Plausible","active",7,"Version2"
14,"The tap fixed the repairman.","Implausible","active",7,"Version2"
14,"The tap was fixed by the repairman.","Plausible","passive",7,"Version2"
14,"The repairman was fixed by the tap.","Implausible","passive",7,"Version2"
15,"The handyman repaired the faucet.","Plausible","active",8,"Version1"
15,"The faucet repaired the handyman.","Implausible","active",8,"Version1"
15,"The faucet was repaired by the handyman.","Plausible","passive",8,"Version1"
15,"The handyman was repaired by the faucet.","Implausible","passive",8,"Version1"
16,"The secretary organized the desk.","Plausible","active",8,"Version2"
16,"The desk organized the secretary.","Implausible","active",8,"Version2"
16,"The desk was organized by the secretary.","Plausible","passive",8,"Version2"
16,"The secretary was organized by the desk.","Implausible","passive",8,"Version2"
17,"The receptionist tidied the table.","Plausible","active",9,"Version1"
17,"The table tidied the receptionist.","Implausible","active",9,"Version1"
17,"The table was tidied by the receptionist.","Plausible","passive",9,"Version1"
17,"The receptionist was tidied by the table.","Implausible","passive",9,"Version1"
18,"The pilot steered the airplane.","Plausible","active",9,"Version2"
18,"The airplane steered the pilot.","Implausible","active",9,"Version2"
18,"The airplane was steered by the pilot.","Plausible","passive",9,"Version2"
18,"The pilot was steered by the airplane.","Implausible","passive",9,"Version2"
19,"The aviator maneuvered the jet.","Plausible","active",10,"Version1"
