"Sentence","ItemNum","Score","NormScore","NumTokens","Metric","Plausibility","agent_freq","patient_freq","sentence_freq","verb_freq","NumWords","agent_freq_norm","patient_freq_norm","verb_freq_norm","sentence_freq_norm","TrialType","Voice","Experiment","LowerBetter","FinalNormScore"
"The cop is arresting the criminal.","1",-4.76843738555908,0.616466530464794,NA,"BERT-large.last-word-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.616466530464794
"The criminal is arresting the cop.","1",-6.19356775283813,0.501832148252989,NA,"BERT-large.last-word-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.501832148252989
"The cop is arresting the criminal.","1",-73.0568351745605,0.653500975664235,NA,"BERT-large.sentence-l2r-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.653500975664235
"The criminal is arresting the cop.","1",-72.1993608474731,0.663993145214531,NA,"BERT-large.sentence-l2r-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.663993145214531
"The cop is arresting the criminal.","1",-14.417822059826,0.6103062587959,8,"BERT-large.sentence-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.6103062587959
"The criminal is arresting the cop.","1",-20.9382567810826,0.37365312934887,8,"BERT-large.sentence-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.37365312934887
"The cop is arresting the criminal.","1",-1.80222775747825,0.595213126298413,8,"BERT-large.sentence-PLL.average_byNrTokens","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.595213126298413
"The criminal is arresting the cop.","1",-2.61728209763533,0.3673493863395,8,"BERT-large.sentence-PLL.average_byNrTokens","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.3673493863395
"The cop is arresting the criminal.","1",-2.40297034330433,0.602141113059824,8,"BERT-large.sentence-PLL.average_byNrWords","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.602141113059824
"The criminal is arresting the cop.","1",-3.48970946351377,0.368654110885756,8,"BERT-large.sentence-PLL.average_byNrWords","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.368654110885756
"The cop is arresting the criminal.","1",-0.3746133375098,0.966464158006112,NA,"BERT-large.verb-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.966464158006112
"The criminal is arresting the cop.","1",-1.893032775959,0.830476375065382,NA,"BERT-large.verb-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.830476375065382
"The cop is arresting the criminal.","1",-46.0835995674133,0.751666757535229,9,"GPT-2-xl.sentence-LL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.248333242464771
"The criminal is arresting the cop.","1",-48.546416759491,0.671781275121773,9,"GPT-2-xl.sentence-LL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.328218724878227
"The cop is arresting the criminal.","1",-5.12039995193481,0.466068709649337,9,"GPT-2-xl.sentence-LL.average_byNrTokens","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.533931290350663
"The criminal is arresting the cop.","1",-5.39404630661011,0.37887336377108,9,"GPT-2-xl.sentence-LL.average_byNrTokens","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.62112663622892
"The cop is arresting the criminal.","1",-7.68059992790222,0.575821443014151,9,"GPT-2-xl.sentence-LL.average_byNrWords","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.424178556985849
"The criminal is arresting the cop.","1",-8.09106945991516,0.500840571120901,9,"GPT-2-xl.sentence-LL.average_byNrWords","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.499159428879099
"The cop is arresting the criminal.","1",-48.806282043457,0.625069745737842,9,"GPT-J.sentence-LL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.374930254262158
"The criminal is arresting the cop.","1",-52.4518032073975,0.473543473535149,9,"GPT-J.sentence-LL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.526456526464851
"The cop is arresting the criminal.","1",-5.42292022705078,0.336498331466977,9,"GPT-J.sentence-LL.average_byNrTokens","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.663501668533023
"The criminal is arresting the cop.","1",-5.82797813415527,0.204499969582517,9,"GPT-J.sentence-LL.average_byNrTokens","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.795500030417483
"The cop is arresting the criminal.","1",-8.13438034057617,0.459735295404898,9,"GPT-J.sentence-LL.average_byNrWords","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.540264704595102
"The criminal is arresting the cop.","1",-8.74196720123291,0.345197399129498,9,"GPT-J.sentence-LL.average_byNrWords","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",TRUE,0.654802600870502
"The cop is arresting the criminal.","1",6.8125,0.980988593155893,NA,"human","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.980988593155893
"The criminal is arresting the cop.","1",1.72340425531915,0.0521802443168028,NA,"human","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.0521802443168028
"The cop is arresting the criminal.","1",-5.67117118835449,0.52780597390684,NA,"RoBERTa-large.last-word-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.52780597390684
"The criminal is arresting the cop.","1",-3.30523729324341,0.724905257564384,NA,"RoBERTa-large.last-word-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.724905257564384
"The cop is arresting the criminal.","1",-116.756474494934,0.910686374479486,NA,"RoBERTa-large.sentence-l2r-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.910686374479486
"The criminal is arresting the cop.","1",-124.247136116028,0.847908101856281,NA,"RoBERTa-large.sentence-l2r-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.847908101856281
"The cop is arresting the criminal.","1",-19.8272725120187,0.528646058162615,7,"RoBERTa-large.sentence-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.528646058162615
