Input.list,Answer.English,Answer.answer,Answer.country,WorkerId,TrialNum,Answer.Rating,Plausibility,Item,Input.trial
1,yes,{},USA,A2M5OXOREG5HYY,1,1,implaus,17,The woman is biting the vampire.
1,yes,{},USA,A2M5OXOREG5HYY,2,7,plaus,23,The judge is sentencing the criminal.
1,yes,{},USA,A2M5OXOREG5HYY,3,7,implaus,20,The lady is cooking for the chef.
1,yes,{},USA,A2M5OXOREG5HYY,4,3,implaus,3,The patient is using a stethoscope on the doctor.
1,yes,{},USA,A2M5OXOREG5HYY,5,7,plaus,14,The priest is blessing the bride.
1,yes,{},USA,A2M5OXOREG5HYY,6,3,implaus,8,The businessman is painting the artist.
1,yes,{},USA,A2M5OXOREG5HYY,7,7,plaus,18,The waiter is serving the customer.
1,yes,{},USA,A2M5OXOREG5HYY,8,7,plaus,2,The babysitter is scolding the child.
1,yes,{},USA,A2M5OXOREG5HYY,9,4,implaus,19,The beggar is giving money to the lawyer.
1,yes,{},USA,A2M5OXOREG5HYY,10,7,plaus,7,The mother is feeding the baby.
1,yes,{},USA,A2M5OXOREG5HYY,11,3,implaus,6,The girl is frightening the ghost.
1,yes,{},USA,A2M5OXOREG5HYY,12,4,implaus,33,The worker is yelling at the boss.
1,yes,{},USA,A2M5OXOREG5HYY,13,3,implaus,1,The criminal is arresting the cop.
1,yes,{},USA,A2M5OXOREG5HYY,14,5,implaus,35,The woman is preventing the bouncer from entering.
1,yes,{},USA,A2M5OXOREG5HYY,15,5,plaus,25,Santa is giving the girl a present.
1,yes,{},USA,A2M5OXOREG5HYY,16,6,plaus,16,The professor is lecturing to the student.
1,yes,{},USA,A2M5OXOREG5HYY,17,6,plaus,4,The fireman is rescuing the grandmother.
1,yes,{},USA,A2M5OXOREG5HYY,18,5,implaus,15,The snorkeler is biting the shark.
1,yes,{},USA,A2M5OXOREG5HYY,19,4,plaus,12,The photographer is taking a picture of the model.
1,yes,{},USA,A2M5OXOREG5HYY,20,1,plaus,41,Please select the leftmost response option.
1,yes,{},USA,A2M5OXOREG5HYY,21,7,plaus,5,The dentist is treating the patient.
1,yes,{},USA,A2M5OXOREG5HYY,22,3,implaus,24,The child is pulling the father on the sled.
1,yes,{},USA,A2M5OXOREG5HYY,23,6,plaus,30,The cat is chasing the mouse.
1,yes,{},USA,A2M5OXOREG5HYY,24,3,implaus,13,The princess is kidnapping the pirate.
1,yes,{},USA,A2M5OXOREG5HYY,25,7,plaus,27,The lady is applauding the athlete.
1,yes,{},USA,A2M5OXOREG5HYY,26,7,plaus,29,The thief is stealing the purse from the grandma.
1,yes,{},USA,A2M5OXOREG5HYY,27,7,plaus,21,The ballerina is dancing for the grandpa.
1,yes,{},USA,A2M5OXOREG5HYY,28,7,plaus,38,The tailor is measuring the princess.
1,yes,{},USA,A2M5OXOREG5HYY,29,7,implaus,22,The sportsstar is interviewing the journalist.
1,yes,{},USA,A2M5OXOREG5HYY,30,2,implaus,37,The woman is proposing to the man.
1,yes,{},USA,A2M5OXOREG5HYY,31,6,plaus,9,The groom is carrying the bride.
1,yes,{},USA,A2M5OXOREG5HYY,32,7,implaus,11,The Safari guide is pouncing on the lion.
1,yes,{},USA,A2M5OXOREG5HYY,33,6,plaus,36,The dog is licking the girl on the face.
