Item,Plausibility,Sentence,m,stdev
1,implaus,The criminal is arresting the cop.,1.708333333,1.515288517
1,plaus,The cop is arresting the criminal.,6.8125,0.606919322
2,implaus,The child is scolding the babysitter.,2.770833333,1.765383249
2,plaus,The babysitter is scolding the child.,6.551020408,0.792181179
3,implaus,The patient is using a stethoscope on the doctor.,2.367346939,1.740376846
3,plaus,The doctor is using a stethoscope on the patient.,6.8125,0.733869082
4,implaus,The grandmother is rescuing the fireman.,1.638297872,1.168900113
4,plaus,The fireman is rescuing the grandmother.,6.755102041,0.596189716
5,implaus,The patient is treating the dentist.,1.4375,0.965495133
5,plaus,The dentist is treating the patient.,6.897959184,0.510102031
6,implaus,The girl is frightening the ghost.,2.06122449,1.638192134
6,plaus,The ghost is frightening the girl.,5.916666667,1.843139474
7,implaus,The baby is feeding the mother.,1.75,1.391463335
7,plaus,The mother is feeding the baby.,6.836734694,0.553283335
8,implaus,The businessman is painting the artist.,2.306122449,1.734503791
8,plaus,The artist is painting the businessman.,5.9375,1.803144417
9,implaus,The bride is carrying the groom.,2.9375,1.629596608
9,plaus,The groom is carrying the bride.,6.770833333,0.660096168
10,implaus,The king is entertaining the jester.,2.083333333,1.48515109
10,plaus,The jester is entertaining the king.,6.791666667,0.650967638
11,implaus,The Safari guide is pouncing on the lion.,1.795918367,1.47167127
11,plaus,The lion is pouncing on the Safari guide.,6.333333333,1.136125056
12,implaus,The model is taking a picture of the photographer.,2.25,1.344808774
12,plaus,The photographer is taking a picture of the model.,6.795918367,0.644838217
13,implaus,The princess is kidnapping the pirate.,1.897959184,1.32672683
13,plaus,The pirate is kidnapping the princess.,6.4375,1.366876389
14,implaus,The bride is blessing the priest.,2.1875,1.886753939
14,plaus,The priest is blessing the bride.,6.632653061,0.858629663
15,implaus,The snorkeler is biting the shark.,1.571428571,1.136515141
15,plaus,The shark is biting the snorkeler.,6.541666667,0.98840799
16,implaus,The student is lecturing to the professor.,2.333333333,1.44889295
16,plaus,The professor is lecturing to the student.,6.918367347,0.343798311
17,implaus,The woman is biting the vampire.,2.06122449,1.519431956
17,plaus,The vampire is biting the woman.,6.333333333,1.520544882
18,implaus,The customer is serving the waiter.,1.479166667,1.202649262
18,plaus,The waiter is serving the customer.,6.612244898,1.319979901
19,implaus,The beggar is giving money to the lawyer.,2.224489796,1.558114594
19,plaus,The lawyer is giving money to the beggar.,5.958333333,1.458042018
20,implaus,The lady is cooking for the chef.,3.6875,1.835306804
20,plaus,The chef is cooking for the lady.,6.652173913,0.993699962
21,implaus,The grandpa is dancing for the ballerina.,2.666666667,1.419219644
21,plaus,The ballerina is dancing for the grandpa.,6.571428571,0.866025404
22,implaus,The sportsstar is interviewing the journalist.,2.183673469,1.43865489
22,plaus,The journalist is interviewng the sportsstar.,6.708333333,0.824061899
23,implaus,The criminal is sentencing the judge.,1.479166667,1.352532429
23,plaus,The judge is sentencing the criminal.,6.918367347,0.343798311
24,implaus,The child is pulling the father on the sled.,2.836734694,1.662665265
24,plaus,The father is pulling the child on the sled.,6.595744681,0.947756492
25,implaus,The girl is giving Santa a present.,2.729166667,1.807073375
25,plaus,Santa is giving the girl a present.,6.530612245,1.101174389
26,implaus,The queen is bowing to the peasant.,2.1875,1.632857435
26,plaus,The peasant is bowing to the queen.,6.604166667,1.105875668
27,implaus,The athlete is applauding the lady.,4.208333333,2.133405362
27,plaus,The lady is applauding the athlete.,6.708333333,0.742575545
28,implaus,The son is tying the father's shoes.,4.836734694,1.806780502
28,plaus,The father is tying the son's shoes.,6.541666667,1.254071384
29,implaus,The grandma is stealing the purse from the thief.,1.791666667,1.320192335
29,plaus,The thief is stealing the purse from the grandma.,6.816326531,0.63487103
30,implaus,The mouse is chasing the cat.,1.957446809,1.141270208
30,plaus,The cat is chasing the mouse.,6.653061224,1.090699707
31,implaus,The patient is pushing the visitor.,2.510204082,1.7093182
31,plaus,The visitor is pushing the patient.,5.5625,1.724741732
32,implaus,The patient is bringing flowers to the relative.,3.854166667,2.576403425
32,plaus,The relative is bringing flowers to the patient.,6.816326531,0.601161008
33,implaus,The worker is yelling at the boss.,4.387755102,1.789044514
33,plaus,The boss is yelling at the worker.,6.645833333,1.020837856
34,implaus,The blind person is leading the dog.,2.021276596,1.700247574
34,plaus,The dog is leading the blind person.,6.836734694,0.514252644
35,implaus,The woman is preventing the bouncer from entering.,2.102040816,1.517191731
35,plaus,The bouncer is preventing the woman from entering.,6.708333333,0.713347915
36,implaus,The girl is licking the dog on the face.,3.104166667,2.013143866
36,plaus,The dog is licking the girl on the face.,6.744680851,0.674636298
37,implaus,The woman is proposing to the man.,4.936170213,1.633937034
37,plaus,The man is proposing to the woman.,6.854166667,0.545370588
38,implaus,The princess is measuring the tailor.,1.958333333,1.556842595
38,plaus,The tailor is measuring the princess.,6.693877551,0.82168733
39,implaus,The grandmother is saving the lifeguard.,1.875,1.37801893
39,plaus,The lifeguard is saving the grandmother.,6.6875,0.719226831
40,implaus,The lady is opening the door for the chauffeur.,3.25,1.896244889
40,plaus,The chauffeur is opening the door for the lady.,6.625,1.002656047
