"","Sentence","Score","Metric","NormScore","ItemNum_OLD","Plausibility","agent_freq","patient_freq","sentence_freq","verb_freq","agent_freq_norm","patient_freq_norm","verb_freq_norm","sentence_freq_norm","TrialType","Voice","Experiment","LowerBetter","FinalNormScore","ItemNum"
"1","Santa is giving the girl a present.",-50.2184715427063,"gpt2-xl_full",0.674832237912651,"925","Plausible",8.97157544,10.6320984,12.32360737,11.15914632,-0.286567750384237,0.548048841341754,0.701655610700664,0.803219193228243,"AAN","active","EventsRev",FALSE,0.674832237912651,924
"2","Santa is giving the girl a present.",0,"thematicFit_addition",0,"925","Plausible",8.97157544,10.6320984,12.32360737,11.15914632,-0.286567750384237,0.548048841341754,0.701655610700664,0.803219193228243,"AAN","active","EventsRev",FALSE,0,924
"3","Santa is giving the girl a present.",0.261284439177515,"roberta-large",0.623719320767478,"925","Plausible",8.97157544,10.6320984,12.32360737,11.15914632,-0.286567750384237,0.548048841341754,0.701655610700664,0.803219193228243,"AAN","active","EventsRev",FALSE,0.623719320767478,924
"4","Santa is giving the girl a present.",0.975504089768203,"v2_sdm",0.62664127593448,"925","Plausible",8.97157544,10.6320984,12.32360737,11.15914632,-0.286567750384237,0.548048841341754,0.701655610700664,0.803219193228243,"AAN","active","EventsRev",FALSE,0.62664127593448,924
"5","Santa is giving the girl a present.",1.43455220383423,"bert-large-cased",0.668650689014864,"925","Plausible",8.97157544,10.6320984,12.32360737,11.15914632,-0.286567750384237,0.548048841341754,0.701655610700664,0.803219193228243,"AAN","active","EventsRev",FALSE,0.668650689014864,924
"6","Santa is giving the girl a present.",6.53061224489796,"human",0.929368029739777,"925","Plausible",8.97157544,10.6320984,12.32360737,11.15914632,-0.286567750384237,0.548048841341754,0.701655610700664,0.803219193228243,"AAN","active","EventsRev",FALSE,0.929368029739777,924
"7","Santa is giving the girl a present.",7.88707996593949,"syntax-based_PPMI",0.212943247417699,"925","Plausible",8.97157544,10.6320984,12.32360737,11.15914632,-0.286567750384237,0.548048841341754,0.701655610700664,0.803219193228243,"AAN","active","EventsRev",FALSE,0.212943247417699,924
"8","Santa is giving the girl a present.",69.873991,"surprisal_scores_tinylstm",0.645977615180724,"925","Plausible",8.97157544,10.6320984,12.32360737,11.15914632,-0.286567750384237,0.548048841341754,0.701655610700664,0.803219193228243,"AAN","active","EventsRev",TRUE,0.354022384819276,924
"9","The artist is painting the businessman.",-53.2759094732771,"gpt2-xl_full",0.570121180488065,"908","Plausible",10.44152943,7.118016204,11.77735587,10.79865679,0.444654304748587,-1.23563902487692,0.333480297704366,-0.128533587328985,"AAN","active","EventsRev",FALSE,0.570121180488065,908
"10","The artist is painting the businessman.",0.25322482500454,"roberta-large",0.621513434823248,"908","Plausible",10.44152943,7.118016204,11.77735587,10.79865679,0.444654304748587,-1.23563902487692,0.333480297704366,-0.128533587328985,"AAN","active","EventsRev",FALSE,0.621513434823248,908
