"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","pValAdjusted","pLabel","pValFinal"
"RoBERTa-large","(Intercept)",0.67394150712729,0.0208158452056985,57.2305592743966,32.3763700425094,1.72010740550549e-38,8.60053702752746e-38,"***","<0.001"
"RoBERTa-large","PlausibilityPlausible",0.0209178555910762,0.0192890785769023,38.0965149163908,1.0844403742605,0.284984941466406,0.319801456652794,"","0.32"
"RoBERTa-large","agent_freq_norm",0.0446030018704942,0.023235456751045,50.1045497738785,1.91960942917501,0.0606104278740768,0.101017379790128,"","0.101"
"RoBERTa-large","patient_freq_norm",0.0363458050040943,0.0236456104853254,54.5822832130524,1.53710579926244,0.130044644314306,0.216741073857177,"","0.217"
"RoBERTa-large","verb_freq_norm",0.0234144413082687,0.019530604140343,38.0284494346559,1.19885903887136,0.238000176072221,0.319124578271964,"","0.319"
"RoBERTa-large","sentence_freq_norm",0.0588808626342334,0.0315905347806297,40.5804409930034,1.8638767289985,0.0695852739706966,0.181918509383467,"","0.182"
"BERT-large","(Intercept)",0.415103763874535,0.0316354798807139,44.3158270318197,13.1214625300373,7.2361034880921e-17,9.04512936011513e-17,"***","<0.001"
"BERT-large","PlausibilityPlausible",0.0565951819217471,0.0175861023234775,38.4438541647816,3.21817653967544,0.00262069551228839,0.00436782585381398,"**","0.004"
"BERT-large","agent_freq_norm",0.0119695919514962,0.0348580495900411,55.974760298922,0.343381000723456,0.73259826697605,0.73259826697605,"","0.733"
"BERT-large","patient_freq_norm",0.0107916422401884,0.0348595401498744,57.6217675724909,0.30957500281963,0.758000927675235,0.758000927675235,"","0.758"
"BERT-large","verb_freq_norm",0.0352592329394572,0.0321354299352518,38.2839645852815,1.09720744394892,0.279404252748055,0.319124578271964,"","0.319"
"BERT-large","sentence_freq_norm",0.0924191533751167,0.0503114946734787,45.4198441780164,1.8369391323974,0.0727674037533867,0.181918509383467,"","0.182"
"GPT2-XL","(Intercept)",0.508123279325897,0.02666988901138,42.5183822928347,19.0523207317841,1.93308618000573e-22,4.83271545001433e-22,"***","<0.001"
"GPT2-XL","PlausibilityPlausible",0.0915097306592782,0.0136323912994049,37.7117406546004,6.71266901378285,6.26097655261033e-08,1.56524413815258e-07,"***","<0.001"
"GPT2-XL","agent_freq_norm",0.11136885483809,0.0290115737571886,57.7311005881976,3.83877330372313,0.000309250599138843,0.00154625299569422,"**","0.002"
"GPT2-XL","patient_freq_norm",0.114967083460479,0.028972295058414,59.1506745534811,3.96817315399703,0.000198423503321438,0.00099211751660719,"***","<0.001"
"GPT2-XL","verb_freq_norm",0.0275201962525291,0.0272571573661379,37.5521575194148,1.0096502684729,0.319124578271964,0.319124578271964,"","0.319"
"GPT2-XL","sentence_freq_norm",-0.0370417800397454,0.0423163681936502,45.9346893920118,-0.875353477175381,0.385935969537465,0.559211986980498,"","0.559"
"tinyLSTM","(Intercept)",0.612090345306836,0.0347677138475111,40.8692768103425,17.6051364202842,1.09607867079602e-20,1.82679778466004e-20,"***","<0.001"
"tinyLSTM","PlausibilityPlausible",0.0138748727168128,0.013765790444919,38.3922497452018,1.00792415606864,0.319801456652794,0.319801456652794,"","0.32"
"tinyLSTM","agent_freq_norm",0.0408757219300511,0.0356599197576264,66.9306481697632,1.14626511242525,0.255767100053518,0.319708875066897,"","0.32"
"tinyLSTM","patient_freq_norm",0.0358027472401986,0.0355046540402087,67.6655687318443,1.00839589085004,0.316856893350709,0.396071116688387,"","0.396"
"tinyLSTM","verb_freq_norm",0.0615266208956908,0.0359762638533181,38.3048721652152,1.71020040175784,0.0953183892619377,0.319124578271964,"","0.319"
"tinyLSTM","sentence_freq_norm",-0.0413635921122628,0.0540218263850865,51.3597475486056,-0.765682963352786,0.447369589584398,0.559211986980498,"","0.559"
"human","(Intercept)",0.176386273067149,0.0179458024030081,75.9999999978223,9.82883178506317,3.50470806860805e-15,3.50470806860805e-15,"***","<0.001"
"human","PlausibilityPlausible",0.759431970836125,0.0253534138187922,75.9999999976577,29.953834866736,7.87010271196393e-44,3.93505135598197e-43,"***","<0.001"
"human","agent_freq_norm",0.0451412230938266,0.0179873199062787,75.9999999975595,2.50961362387676,0.0142140697370505,0.0355351743426262,"*","0.036"
"human","patient_freq_norm",0.0332015035520608,0.0191834518041859,75.9999999979736,1.73073667299104,0.0875571397552484,0.216741073857177,"","0.217"
"human","verb_freq_norm",0.0181693515254673,0.013460072410827,75.9999999974876,1.34987026599145,0.181064471569993,0.319124578271964,"","0.319"
"human","sentence_freq_norm",-0.00507463515620042,0.0220895310012444,75.9999999979775,-0.229730325913871,0.818918500468888,0.818918500468888,"","0.819"
