"WorkerId","Score","Plausibility","ItemNum","Sentence","TrialType","Voice"
"A12FTSX85NQ8N9",4,"Plausible",1,"The raider caught the illness.","AI","active"
"A18XFOKU5G1OL1",4,"Plausible",1,"The raider caught the illness.","AI","active"
"A1M24593XO5Z3C",4,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A1R780RJYQ68GY",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A1TEXCUTI4IUUN",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2GCPNX75LDVAB",2,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2R02DYCDLY75U",4,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2T675UCHNTSSW",6,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2UIGDOLX5RV95",7,"Plausible",1,"The raider caught the illness.","AI","active"
"A3696JXTRKL2FI",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A369RF97DE3FAI",6,"Plausible",1,"The raider caught the illness.","AI","active"
"A3CTXNQ2GXIQSP",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A3S3WYVCVWW8IZ",6,"Plausible",1,"The raider caught the illness.","AI","active"
"AJXIC6Q5EM76P",6,"Plausible",1,"The raider caught the illness.","AI","active"
"AMIQGW2E3WYO4",1,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"AQ5KGRJE4W53Z",5,"Plausible",1,"The raider caught the illness.","AI","active"
"AR8O1107OAW4V",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"AUFOO8PU2BK37",4,"Plausible",1,"The raider caught the illness.","AI","active"
"AUFUUD4WG9CVO",4,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"AURYD2FH3FUOQ",7,"Plausible",1,"The raider caught the illness.","AI","active"
"A11W7R2O4RQSSS",7,"Plausible",1,"The raider caught the illness.","AI","active"
"A14LXHJAWRQWR6",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A14SEFVPXYZ9TN",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A17NFI9O9H25MZ",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A1DCG37N0Y8BN0",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A1MM8TSLCHVMNK",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A1XQOZV8LQDM22",6,"Plausible",1,"The raider caught the illness.","AI","active"
"A24U4J5I2J4VFV",6,"Plausible",1,"The raider caught the illness.","AI","active"
"A2580O4IYRX53L",4,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2FOUSWQDYHIE0",7,"Plausible",1,"The raider caught the illness.","AI","active"
"A2NHFSO7GMM8QR",3,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2QRW24EKQU705",5,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2VLTSW6CXIUMR",5,"Plausible",1,"The raider caught the illness.","AI","active"
"A2VTUR86NML1F8",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2VUAAJHX6ROS9",6,"Plausible",1,"The raider caught the illness.","AI","active"
"A2YCMT5BPA0AG9",4,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A2ZL5GAZK6S0H1",6,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A30HUZHJBOX1LK",7,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A33NG3ZGW5DNQY",1,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A36IO8HVVL5WTZ",7,"Plausible",1,"The raider caught the illness.","AI","active"
"A39C1BN9ZSQ0R2",6,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"A3D2U4QF7821ZW",5,"Plausible",1,"The raider caught the illness.","AI","active"
"A4R66ZHYXG17N",1,"Plausible",1,"The raider caught the illness.","AI","active"
"A6R88PQFFSNI9",4,"Plausible",1,"The raider caught the illness.","AI","active"
"A7I3G380E29VE",7,"Plausible",1,"The raider caught the illness.","AI","active"
"AKSJ3C5O3V9RB",6,"Plausible",1,"The raider caught the illness.","AI","active"
"AOAMTLMPOJ7P7",5,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"ATP2BJPDK4K2B",5,"Plausible",1,"The illness was caught by the raider.","AI","passive"
"AWE9A4ZOP9LNU",6,"Plausible",1,"The raider caught the illness.","AI","active"
"A13GUTDMGGZZDL",1,"Implausible",1,"The raider was caught by the illness.","AI","passive"
"A171RZ3O028XF6",7,"Implausible",1,"The illness caught the raider.","AI","active"
"A1AYQ8E01NSY5Z",7,"Implausible",1,"The illness caught the raider.","AI","active"
"A1CMWA0L8FTSXA",1,"Implausible",1,"The illness caught the raider.","AI","active"
"A1OM5NWYYYJKQW",6,"Implausible",1,"The raider was caught by the illness.","AI","passive"
"A1OW27AZS122X2",6,"Implausible",1,"The raider was caught by the illness.","AI","passive"
"A1T643M1P572AA",1,"Implausible",1,"The illness caught the raider.","AI","active"
"A1V1JNPU0KOA3X",1,"Implausible",1,"The raider was caught by the illness.","AI","passive"
