SentenceNum,Sentence,OriginalPlaus,Implaus Sentence,NewPlaus,
1,the cop is arresting the criminal,Plausible,the cop is escaping the criminal,Implausible,
2,the criminal is arresting the cop,Implausible,the criminal is escaping the cop,Plausible,
3,the babysitter is scolding the child,Plausible,the babysitter is annoying the child,Implausible,
4,the child is scolding the babysitter,Implausible,the child is annoying the babysitter,Plausible,
5,the doctor is using a stethoscope on the patient,Plausible,the doctor is seeing a stethoscope on the patient,Implausible,
6,the patient is using a stethoscope on the doctor,Implausible,the patient is seeing a stethoscope on the doctor,Plausible,
7,the fireman is rescuing the grandmother,Plausible,the fireman is thanking the grandmother,Implausible,
8,the grandmother is rescuing the fireman,Implausible,the grandmother is thanking the fireman,Plausible,
9,the dentist is treating the patient,Plausible,the dentist is dreading the patient,Implausible,
10,the patient is treating the dentist,Implausible,the patient is dreading the dentist,Plausible,
11,the ghost is frightening the girl,Plausible,the ghost is chasing the girl,Implausible,
12,the girl is frightening the ghost,Implausible,the girl is chasing the ghost,Plausible,
13,the mother is feeding the baby,Plausible,the mother is grabbing the baby,Implausible,
14,the baby is feeding the mother,Implausible,the baby is grabbing the mother,Plausible,
15,the artist is painting the businessman,Plausible,the artist is sponsoring the businessman,Implausible,
16,the businessman is painting the artist,Implausible,the businessman is sponsoring the artist,Plausible,
17,the groom is carrying the bride,Plausible,the groom is running away from the bride,Implausible,diff structure
18,the bride is carrying the groom,Implausible,the bride is running away from the groom,Plausible,diff structure
19,the jester is entertaining the king,Plausible,the jester is paying the king,Implausible,
20,the king is entertaining the jester,Implausible,the king is paying the jester,Plausible,
21,the lion is pouncing on the safari guide,Plausible,the lion is pointing out the safari guide,Implausible,diff structure
22,the safari guide is pouncing on the lion,Implausible,the safari guide is pointing out the lion,Plausible,diff structure
23,the photographer is taking a picture of the model,Plausible,the photographer is posing for a picture for the model,Implausible,diff structure
24,the model is taking a picture of the photographer,Implausible,the model is posing for a picture for the photographer,Plausible,diff structure
25,the pirate is kidnapping the princess,Plausible,the pirate is fighting off the princess,Implausible,diff structure
26,the princess is kidnapping the pirate,Implausible,the princess is fighting off the pirate,Plausible,diff structure
27,the priest is blessing the bride,Plausible,,Implausible,
28,the bride is blessing the priest,Implausible,,Plausible,
29,the shark is biting the snorkeler,Plausible,the shark is studying the snorkeler,Implausible,
30,the snorkeler is biting the shark,Implausible,the snorkeler is studying the shark,Plausible,
31,the professor is lecturing to the student,Plausible,the professor is listening to the student,Implausible,
32,the student is lecturing to the professor,Implausible,the student is listening to the professor,Plausible,
33,the vampire is biting the woman,Plausible,,Implausible,
34,the woman is biting the vampire,Implausible,,Plausible,
35,the waiter is serving the customer,Plausible,the waiter is thanking the customer,Implausible,
36,the customer is serving the waiter,Implausible,the customer is thanking the waiter,Plausible,
37,the lawyer is giving money to the beggar,Plausible,the lawyer is owing money to the beggar,Implausible,
38,the beggar is giving money to the lawyer,Implausible,the beggar is owing money to the lawyer,Plausible,
39,the chef is cooking for the lady,Plausible,the chef is asking for the lady,Implausible,
40,the lady is cooking for the chef,Implausible,the lady is asking for the chef,Plausible,
41,the ballerina is dancing for the grandpa,Plausible,the ballerina is cheering for the grandpa,Implausible,
42,the grandpa is dancing for the ballerina,Implausible,the grandpa is cheering for the ballerina,Plausible,
43,the journalist is interviewing the sportsstar,Plausible,the journalist is suing the sportsstar,Implausible,
44,the sportsstar is interviewing the journalist,Implausible,the sportsstar is suing the journalist,Plausible,
45,the judge is sentencing the criminal,Plausible,the judge is insulting the criminal,Implausible,
46,the criminal is sentencing the judge,Implausible,the criminal is insulting the judge,Plausible,
47,the father is pulling the child on the sled,Plausible,,Implausible,
48,the child is pulling the father on the sled,Implausible,,Plausible,
49,santa is giving the girl a present,Plausible,,Implausible,
50,the girl is giving santa a present,Implausible,,Plausible,
51,the peasant is bowing to the queen,Plausible,,Implausible,
52,the queen is bowing to the peasant,Implausible,,Plausible,
53,the lady is applauding the athlete,Plausible,,Implausible,
54,the athlete is applauding the lad,Implausible,,Plausible,
55,the father is tying the son's shoes,Plausible,,Implausible,
56,the son is tying the father's shoes,Implausible,,Plausible,
57,the thief is stealing the purse from the grandma,Plausible,,Implausible,
58,the grandma is stealing the purse from the thief,Implausible,,Plausible,
59,the cat is chasing the mouse,Plausible,,Implausible,
60,the mouse is chasing the cat,Implausible,,Plausible,
61,the visitor is pushing the patient,Plausible,,Implausible,
62,the patient is pushing the visitor,Implausible,,Plausible,
63,the relative is bringing flowers to the patient,Plausible,,Implausible,
64,the patient is bringing flowers to the relative,Implausible,,Plausible,
65,the boss is yelling at the worker,Plausible,,Implausible,
66,the worker is yelling at the boss,Implausible,,Plausible,
67,the dog is leading the blind person,Plausible,,Implausible,
68,the blind person is leading the dog,Implausible,,Plausible,
69,the bouncer is preventing the woman from entering,Plausible,,Implausible,
70,the woman is preventing the bouncer from entering,Implausible,,Plausible,
71,the dog is licking the girl on the face,Plausible,,Implausible,
72,the girl is licking the dog on the face,Implausible,,Plausible,
73,the man is proposing to the woman,Plausible,,Implausible,
74,the woman is proposing to the man,Implausible,,Plausible,
75,the tailor is measuring the princess,Plausible,,Implausible,
76,the princess is measuring the tailor,Implausible,,Plausible,
77,the lifeguard is saving the grandmother,Plausible,,Implausible,
78,the grandmother is saving the lifeguard,Implausible,,Plausible,
79,the chauffeur is opening the door for the lady,Plausible,,Implausible,
80,the lady is opening the door for the chauffeur,Implausible,,Plausible,
