"Index","TrialType","number_ANNs_correct","human_score_difference","Plausible","Implausible"
1,"AAN",0,0.16,"The environmentalist cautioned the tobacconist.","The tobacconist cautioned the environmentalist."
2,"AAN",0.2,-0.07,"The pixie mesmerized the ogre.","The ogre mesmerized the pixie."
3,"AAN",0.2,0.11,"The nomad cherished the clergyman.","The clergyman cherished the nomad."
4,"AAN",0.2,0.24,"The vagabond revered the priest.","The priest revered the vagabond."
5,"AAN",0.2,0.54,"The craftsman taught the trainee.","The trainee taught the craftsman."
6,"AAN",0.2,0.06,"The prodigy surprised the relative.","The relative surprised the prodigy."
7,"AAN",0.2,-0.01,"The liar emulated the victor.","The victor emulated the liar."
8,"AAN",0.2,0.54,"The lion chased the tour-guide.","The tour-guide chased the lion."
9,"AAN",0.2,0.03,"The neuroscientist overwhelmed the lab assistant.","The lab assistant overwhelmed the neuroscientist."
10,"AAN",0.2,0.12,"The warmonger terrorized the gunsmith.","The gunsmith terrorized the warmonger."
