"WorkerId","Score","Plausibility","ItemNum","Sentence"
"A27VFM67RPD2L5",7,"Plausible",1,"The cop is arresting the criminal."
"A3F3A89U4ZXJJD",7,"Plausible",1,"The cop is arresting the criminal."
"A147F5PJTHOB8A",7,"Plausible",1,"The cop is arresting the criminal."
"A1B1Y6OBCA7XTZ",7,"Plausible",1,"The cop is arresting the criminal."
"A1LTJHPUTL7WM9",7,"Plausible",1,"The cop is arresting the criminal."
"A1SISJL5ST2PWH",7,"Plausible",1,"The cop is arresting the criminal."
"A1XVEKS9O73ERE",7,"Plausible",1,"The cop is arresting the criminal."
"A23KAJRDVCVGOE",7,"Plausible",1,"The cop is arresting the criminal."
"A248QG4DPULP46",7,"Plausible",1,"The cop is arresting the criminal."
"A2541C8MY0BYV3",7,"Plausible",1,"The cop is arresting the criminal."
"A2EI9E6EBZEZO1",7,"Plausible",1,"The cop is arresting the criminal."
"A2FGKKWP33DFWS",5,"Plausible",1,"The cop is arresting the criminal."
"A2JDYN6QM8M5UN",7,"Plausible",1,"The cop is arresting the criminal."
"A2Y6K5DW6G7H0T",7,"Plausible",1,"The cop is arresting the criminal."
"A3908297ZI3LES",7,"Plausible",1,"The cop is arresting the criminal."
"A3PLWSCPFLCEGI",7,"Plausible",1,"The cop is arresting the criminal."
"AFDC9A6Z60W2Z",7,"Plausible",1,"The cop is arresting the criminal."
"AQMJMYR9MANOG",4,"Plausible",1,"The cop is arresting the criminal."
"AVZOC3OGBQRX2",7,"Plausible",1,"The cop is arresting the criminal."
"AZOT44NUTXOYT",7,"Plausible",1,"The cop is arresting the criminal."
"A11YS0T8MV3Q7C",7,"Plausible",1,"The cop is arresting the criminal."
"A18VIO909RWY6D",7,"Plausible",1,"The cop is arresting the criminal."
"A2CWJRAEFZ44HU",7,"Plausible",1,"The cop is arresting the criminal."
"A2GTJ0BD4CG1A2",7,"Plausible",1,"The cop is arresting the criminal."
"A2QD7QFGCUNF5N",5,"Plausible",1,"The cop is arresting the criminal."
"A2V27A9GZA1NR2",7,"Plausible",1,"The cop is arresting the criminal."
"A2XPWASDT8AYXH",7,"Plausible",1,"The cop is arresting the criminal."
"A2YGOORS5N9RW8",7,"Plausible",1,"The cop is arresting the criminal."
"A2ZA3X3DBEMBCD",7,"Plausible",1,"The cop is arresting the criminal."
"A3D2GO0IFRFN6R",7,"Plausible",1,"The cop is arresting the criminal."
"A3FT3XPTOWHJMY",6,"Plausible",1,"The cop is arresting the criminal."
"A3PYD7EU2WFST6",7,"Plausible",1,"The cop is arresting the criminal."
"AAOEHS9LFB8KA",7,"Plausible",1,"The cop is arresting the criminal."
"AC5UD8N187QD6",7,"Plausible",1,"The cop is arresting the criminal."
"AKMIORNF40ST7",7,"Plausible",1,"The cop is arresting the criminal."
"ARWN6TT8EWCFJ",6,"Plausible",1,"The cop is arresting the criminal."
"AUQ79MANVDU9B",7,"Plausible",1,"The cop is arresting the criminal."
"A1FKRZKU1H9YFC",7,"Plausible",1,"The cop is arresting the criminal."
"A1KWC8TW8ANBQ8",7,"Plausible",1,"The cop is arresting the criminal."
"A1QIR3JFR56TKL",7,"Plausible",1,"The cop is arresting the criminal."
"A1YH2I4Y2SYAXJ",7,"Plausible",1,"The cop is arresting the criminal."
"A2VNSNAN1LZBAM",7,"Plausible",1,"The cop is arresting the criminal."
"A3CQDCNYJAX2X3",7,"Plausible",1,"The cop is arresting the criminal."
"A3KSTXZKLRE3UC",7,"Plausible",1,"The cop is arresting the criminal."
"A3QZEKY53Y1IC6",7,"Plausible",1,"The cop is arresting the criminal."
"A4E818Z7A5FST",7,"Plausible",1,"The cop is arresting the criminal."
"AMPMTF5IAAMK8",7,"Plausible",1,"The cop is arresting the criminal."
"AZ69TBTDH7AZS",7,"Plausible",1,"The cop is arresting the criminal."
"A2M5OXOREG5HYY",3,"Implausible",1,"The criminal is arresting the cop."
"A1945USNZHTROX",1,"Implausible",1,"The criminal is arresting the cop."
"A1B5SSGMTAQ9B5",1,"Implausible",1,"The criminal is arresting the cop."
"A1BNYBF79IQ89T",1,"Implausible",1,"The criminal is arresting the cop."
"A1F3XD5WEK7H7E",1,"Implausible",1,"The criminal is arresting the cop."
"A1F9KLZGHE9DTA",1,"Implausible",1,"The criminal is arresting the cop."
"A1KS9LITOVPAT8",1,"Implausible",1,"The criminal is arresting the cop."
"A1M682B2WUSYJP",1,"Implausible",1,"The criminal is arresting the cop."
"A1P6OXEJ86HQRM",1,"Implausible",1,"The criminal is arresting the cop."
"A1VR1XQEQQXYUE",1,"Implausible",1,"The criminal is arresting the cop."
"A1WS9UHL45VZ0X",2,"Implausible",1,"The criminal is arresting the cop."
"A1Z26KLD8VFYUD",4,"Implausible",1,"The criminal is arresting the cop."
"A2E0LU8V4EUX5C",1,"Implausible",1,"The criminal is arresting the cop."
"A2XQ3CFB5HT2ZQ",1,"Implausible",1,"The criminal is arresting the cop."
"A30HUZHJBOX1LK",1,"Implausible",1,"The criminal is arresting the cop."
"A3FOKP72T5I4FR",1,"Implausible",1,"The criminal is arresting the cop."
"A3K9GTQBOI7O5A",3,"Implausible",1,"The criminal is arresting the cop."
"A3UPZ88FI1EJC",1,"Implausible",1,"The criminal is arresting the cop."
"A8028AFBBS29G",1,"Implausible",1,"The criminal is arresting the cop."
"A12FTSX85NQ8N9",1,"Implausible",1,"The criminal is arresting the cop."
"A1JJYY622DGE5L",1,"Implausible",1,"The criminal is arresting the cop."
"A1JVO7FLPATHUB",1,"Implausible",1,"The criminal is arresting the cop."
"A1P2RQ166VS5BT",1,"Implausible",1,"The criminal is arresting the cop."
"A1ZDR2UN7M92LI",4,"Implausible",1,"The criminal is arresting the cop."
"A20X14OMRL0YPZ",3,"Implausible",1,"The criminal is arresting the cop."
"A2DVJ6OMVVYTC7",1,"Implausible",1,"The criminal is arresting the cop."
"A2OVWCQ4B9AHFY",2,"Implausible",1,"The criminal is arresting the cop."
"A2VB8KX3XUA6WU",1,"Implausible",1,"The criminal is arresting the cop."
"A2YAYHZYI7M3HD",1,"Implausible",1,"The criminal is arresting the cop."
"A2YCMT5BPA0AG9",1,"Implausible",1,"The criminal is arresting the cop."
"A3DS5B06ZCD3E3",1,"Implausible",1,"The criminal is arresting the cop."
"A3KF6O09H04SP7",1,"Implausible",1,"The criminal is arresting the cop."
"A3MFK5UEUG95M3",NA,"Implausible",1,"The criminal is arresting the cop."
"A3SH7B3UK915FC",1,"Implausible",1,"The criminal is arresting the cop."
"A64JDJKE9DYCT",1,"Implausible",1,"The criminal is arresting the cop."
"AJRY9ALX8069Y",1,"Implausible",1,"The criminal is arresting the cop."
"A13I3UTEFM8852",7,"Implausible",1,"The criminal is arresting the cop."
"A1AS4S7BOJPOEY",1,"Implausible",1,"The criminal is arresting the cop."
"A1XXNB42VP10RB",2,"Implausible",1,"The criminal is arresting the cop."
"A1Z1O6MMOB3UWW",1,"Implausible",1,"The criminal is arresting the cop."
"A28RAZB2S5TF4N",6,"Implausible",1,"The criminal is arresting the cop."
"A29SJZ0IEOHGMB",7,"Implausible",1,"The criminal is arresting the cop."
"A2PXJTMWGUE5DC",1,"Implausible",1,"The criminal is arresting the cop."
"A2ZL7BZA7RRMIN",2,"Implausible",1,"The criminal is arresting the cop."
"A326O3VWP8TO8N",1,"Implausible",1,"The criminal is arresting the cop."
"A3D3MQ814FCE0W",1,"Implausible",1,"The criminal is arresting the cop."
"A3MYPYBVHX7FQ2",1,"Implausible",1,"The criminal is arresting the cop."
"AVPKE76DJLWK6",2,"Implausible",1,"The criminal is arresting the cop."
"A2M5OXOREG5HYY",7,"Plausible",2,"The babysitter is scolding the child."
"A1945USNZHTROX",6,"Plausible",2,"The babysitter is scolding the child."
"A1B5SSGMTAQ9B5",7,"Plausible",2,"The babysitter is scolding the child."
"A1BNYBF79IQ89T",7,"Plausible",2,"The babysitter is scolding the child."
"A1F3XD5WEK7H7E",5,"Plausible",2,"The babysitter is scolding the child."
"A1F9KLZGHE9DTA",7,"Plausible",2,"The babysitter is scolding the child."
"A1KS9LITOVPAT8",6,"Plausible",2,"The babysitter is scolding the child."
"A1M682B2WUSYJP",7,"Plausible",2,"The babysitter is scolding the child."
"A1P6OXEJ86HQRM",7,"Plausible",2,"The babysitter is scolding the child."
"A1VR1XQEQQXYUE",6,"Plausible",2,"The babysitter is scolding the child."
"A1WS9UHL45VZ0X",6,"Plausible",2,"The babysitter is scolding the child."
"A1Z26KLD8VFYUD",5,"Plausible",2,"The babysitter is scolding the child."
"A2E0LU8V4EUX5C",7,"Plausible",2,"The babysitter is scolding the child."
"A2XQ3CFB5HT2ZQ",7,"Plausible",2,"The babysitter is scolding the child."
"A30HUZHJBOX1LK",7,"Plausible",2,"The babysitter is scolding the child."
"A3FOKP72T5I4FR",7,"Plausible",2,"The babysitter is scolding the child."
"A3K9GTQBOI7O5A",7,"Plausible",2,"The babysitter is scolding the child."
"A3UPZ88FI1EJC",7,"Plausible",2,"The babysitter is scolding the child."
"A8028AFBBS29G",7,"Plausible",2,"The babysitter is scolding the child."
"A12FTSX85NQ8N9",7,"Plausible",2,"The babysitter is scolding the child."
"A1JJYY622DGE5L",7,"Plausible",2,"The babysitter is scolding the child."
"A1JVO7FLPATHUB",7,"Plausible",2,"The babysitter is scolding the child."
"A1P2RQ166VS5BT",5,"Plausible",2,"The babysitter is scolding the child."
"A1ZDR2UN7M92LI",7,"Plausible",2,"The babysitter is scolding the child."
"A20X14OMRL0YPZ",5,"Plausible",2,"The babysitter is scolding the child."
"A2DVJ6OMVVYTC7",6,"Plausible",2,"The babysitter is scolding the child."
"A2OVWCQ4B9AHFY",7,"Plausible",2,"The babysitter is scolding the child."
"A2VB8KX3XUA6WU",7,"Plausible",2,"The babysitter is scolding the child."
"A2YAYHZYI7M3HD",6,"Plausible",2,"The babysitter is scolding the child."
"A2YCMT5BPA0AG9",7,"Plausible",2,"The babysitter is scolding the child."
