"ItemNum","Sentence","Plausibility","Voice"
"1","The actor won the award.","Plausible","active"
"1","The actor won the battle.","Implausible","active"
"2","The anchorman told the news.","Plausible","active"
"2","The anchorman told the parable.","Implausible","active"
"3","The animal found the food.","Plausible","active"
"3","The animal found the map.","Implausible","active"
"4","The ant stacked the supply.","Plausible","active"
"4","The ant stacked the suitcase.","Implausible","active"
"5","The archeologist examined the epigraph.","Plausible","active"
"5","The archeologist examined the dog.","Implausible","active"
"6","The archer released the arrow.","Plausible","active"
"6","The archer released the interview.","Implausible","active"
"7","The artist assembled the art.","Plausible","active"
"7","The artist assembled the tent.","Implausible","active"
"8","The artist hung the picture.","Plausible","active"
"8","The artist hung the motorcycle.","Implausible","active"
"9","The assistant helped the cook.","Plausible","active"
"9","The assistant helped the soldier.","Implausible","active"
"10","The astronaut reached the moon.","Plausible","active"
"10","The astronaut reached the baker.","Implausible","active"
"11","The astronaut touched the ground.","Plausible","active"
"11","The astronaut touched the guitar.","Implausible","active"
"12","The athlete celebrated the victory.","Plausible","active"
"12","The athlete celebrated the marriage.","Implausible","active"
"13","The athlete started the match.","Plausible","active"
"13","The athlete started the vacuum.","Implausible","active"
"14","The athlete won the cup.","Plausible","active"
"14","The athlete won the toy.","Implausible","active"
"15","The author signed the book.","Plausible","active"
"15","The author signed the check.","Implausible","active"
"16","The baker gathered the bread.","Plausible","active"
"16","The baker gathered the soldier.","Implausible","active"
"17","The baker sold the bread.","Plausible","active"
"17","The baker sold the stroller.","Implausible","active"
"18","The bank assigned the code.","Plausible","active"
"18","The bank assigned the book.","Implausible","active"
"19","The barber cut the hair.","Plausible","active"
"19","The barber cut the cake.","Implausible","active"
"20","The barber used the razor.","Plausible","active"
"20","The barber used the microscope.","Implausible","active"
"21","The bartender handed the drink.","Plausible","active"
"21","The bartender handed the lancet.","Implausible","active"
"22","The bartender shook the drink.","Plausible","active"
"22","The bartender shook the flag.","Implausible","active"
"23","The beautician spread the cream.","Plausible","active"
"23","The beautician spread the paint.","Implausible","active"
"24","The biker started the motorcycle.","Plausible","active"
"24","The biker started the lesson.","Implausible","active"
"25","The biker wore the helmet.","Plausible","active"
"25","The biker wore the swimsuit.","Implausible","active"
"26","The billionaire donated the money.","Plausible","active"
"26","The billionaire donated the book.","Implausible","active"
"27","The binman collected the trash.","Plausible","active"
"27","The binman collected the flower.","Implausible","active"
"28","The biologist used the microscope.","Plausible","active"
"28","The biologist used the razor.","Implausible","active"
"29","The blacksmith poured the metal.","Plausible","active"
