"Sentence","ItemNum","Score","NormScore","NumTokens","Metric","Plausibility","agent_freq","patient_freq","sentence_freq","verb_freq","NumWords","agent_freq_norm","patient_freq_norm","verb_freq_norm","sentence_freq_norm","TrialType","Voice","Experiment","LowerBetter","FinalNormScore"
"The cop is arresting the criminal.","1",-4.76843738555908,0.616466530464794,NA,"BERT-large.last-word-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.616466530464794
"The criminal is arresting the cop.","1",-6.19356775283813,0.501832148252989,NA,"BERT-large.last-word-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.501832148252989
"The cop is arresting the criminal.","1",-24.6040145760635,0.544611424518729,8,"BERT-large.sentence-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.544611424518729
"The criminal is arresting the cop.","1",-28.6911371084861,0.455656632064878,8,"BERT-large.sentence-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.455656632064878
"The cop is arresting the criminal.","1",-73.0568351745605,0.653500975664235,NA,"BERT-large.sentence-l2r-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.653500975664235
"The criminal is arresting the cop.","1",-72.1993608474731,0.663993145214531,NA,"BERT-large.sentence-l2r-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.663993145214531
"The cop is arresting the criminal.","1",-0.3746133375098,0.966464158006112,NA,"BERT-large.verb-PLL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.966464158006112
"The criminal is arresting the cop.","1",-1.893032775959,0.830476375065382,NA,"BERT-large.verb-PLL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.830476375065382
"The cop is arresting the criminal.","1",-46.0835995674133,0.751666757535229,9,"GPT-2-xl.sentence-LL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.751666757535229
"The criminal is arresting the cop.","1",-48.546416759491,0.671781275121773,9,"GPT-2-xl.sentence-LL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.671781275121773
"The cop is arresting the criminal.","1",-5.12039995193481,0.466068709649337,9,"GPT-2-xl.sentence-LL.average_byNrTokens","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.466068709649337
"The criminal is arresting the cop.","1",-5.39404630661011,0.37887336377108,9,"GPT-2-xl.sentence-LL.average_byNrTokens","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.37887336377108
"The cop is arresting the criminal.","1",-7.68059992790222,0.575821443014151,9,"GPT-2-xl.sentence-LL.average_byNrWords","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.575821443014151
"The criminal is arresting the cop.","1",-8.09106945991516,0.500840571120901,9,"GPT-2-xl.sentence-LL.average_byNrWords","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.500840571120901
"The cop is arresting the criminal.","1",-48.806282043457,0.625069745737842,9,"GPT-J.sentence-LL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.625069745737842
"The criminal is arresting the cop.","1",-52.4518032073975,0.473543473535149,9,"GPT-J.sentence-LL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.473543473535149
"The cop is arresting the criminal.","1",-5.42292022705078,0.336498331466977,9,"GPT-J.sentence-LL.average_byNrTokens","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.336498331466977
"The criminal is arresting the cop.","1",-5.82797813415527,0.204499969582517,9,"GPT-J.sentence-LL.average_byNrTokens","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.204499969582517
"The cop is arresting the criminal.","1",-8.13438034057617,0.459735295404898,9,"GPT-J.sentence-LL.average_byNrWords","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.459735295404898
"The criminal is arresting the cop.","1",-8.74196720123291,0.345197399129498,9,"GPT-J.sentence-LL.average_byNrWords","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.345197399129498
"The cop is arresting the criminal.","1",-41.5618028640747,0.642977321457304,9,"MPT-30b.sentence-LL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.642977321457304
"The criminal is arresting the cop.","1",-48.5871605873108,0.402542719214689,9,"MPT-30b.sentence-LL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.402542719214689
"The cop is arresting the criminal.","1",-4.6179780960083,0.394282445792305,9,"MPT-30b.sentence-LL.average_byNrTokens","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.394282445792305
"The criminal is arresting the cop.","1",-5.39857339859009,0.151954005429134,9,"MPT-30b.sentence-LL.average_byNrTokens","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.151954005429134
"The cop is arresting the criminal.","1",-6.92696714401245,0.50291627576961,9,"MPT-30b.sentence-LL.average_byNrWords","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.50291627576961
"The criminal is arresting the cop.","1",-8.09786009788513,0.293444950892132,9,"MPT-30b.sentence-LL.average_byNrWords","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.293444950892132
"The cop is arresting the criminal.","1",-46.3367829322815,0.50760753493035,9,"MPT-7b.sentence-LL","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.50760753493035
"The criminal is arresting the cop.","1",-49.9300374984741,0.372593061762737,9,"MPT-7b.sentence-LL","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.372593061762737
"The cop is arresting the criminal.","1",-5.14853143692017,0.341273299983537,9,"MPT-7b.sentence-LL.average_byNrTokens","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.341273299983537
"The criminal is arresting the cop.","1",-5.5477819442749,0.224471504339844,9,"MPT-7b.sentence-LL.average_byNrTokens","Implausible",10.07483242,12.48407174,12.20778532,10.39454915,6,0.262242512891577,1.48807875267353,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.224471504339844
"The cop is arresting the criminal.","1",-7.72279715538025,0.411763305213864,9,"MPT-7b.sentence-LL.average_byNrWords","Plausible",12.48407174,10.07483242,12.20778532,10.39454915,6,1.4607078654549,0.26519018541336,-0.0792430810888991,0.605659063622487,"AAN","active","EventsRev",FALSE,0.411763305213864
