ItemNum,Plausibility,Sentence,agent_freq,patient_freq,sentence_freq,verb_freq
1,plaus,The cop is arresting the criminal.,12.48407174,10.07483242,12.20778532,10.39454915
1,implaus,The criminal is arresting the cop.,10.07483242,12.48407174,12.20778532,10.39454915
2,plaus,The babysitter is scolding the child.,6.09356977,12.02586884,11.49887232,8.856233556
2,implaus,The child is scolding the babysitter.,12.02586884,6.09356977,11.49887232,8.856233556
3,plaus,The doctor is using a stethoscope on the patient.,10.23160354,11.11489267,12.43464428,12.22692374
3,implaus,The patient is using a stethoscope on the doctor.,11.11489267,10.23160354,12.43464428,12.22692374
4,plaus,The fireman is rescuing the grandmother.,7.332369206,8.245121966,10.986892,9.386392316
4,implaus,The grandmother is rescuing the fireman.,8.245121966,7.332369206,10.986892,9.386392316
5,plaus,The dentist is treating the patient.,8.315811132,11.11489267,11.66767226,11.62791349
5,implaus,The patient is treating the dentist.,11.11489267,8.315811132,11.66767226,11.62791349
6,plaus,The ghost is frightening the girl.,9.846758458,10.6320984,11.8526685,8.890410552
6,implaus,The girl is frightening the ghost.,10.6320984,9.846758458,11.8526685,8.890410552
7,plaus,The mother is feeding the baby.,11.09895428,10.26042746,12.26326152,10.53025452
7,implaus,The baby is feeding the mother.,10.26042746,11.09895428,12.26326152,10.53025452
8,plaus,The artist is painting the businessman.,10.44152943,7.118016204,11.77735587,10.79865679
8,implaus,The businessman is painting the artist.,7.118016204,10.44152943,11.77735587,10.79865679
9,plaus,The groom is carrying the bride.,8.939974177,9.976133743,11.81383877,11.10370833
9,implaus,The bride is carrying the groom.,9.976133743,8.939974177,11.81383877,11.10370833
10,plaus,The jester is entertaining the king.,7.579167967,11.5066961,11.6891871,10.10242038
10,implaus,The king is entertaining the jester.,11.5066961,7.579167967,11.6891871,10.10242038
11,plaus,The lion is pouncing on the Safari guide.,10.44380402,5.278114659,11.59903066,8.663714844
11,implaus,The Safari guide is pouncing on the lion.,5.278114659,10.44380402,11.59903066,8.663714844
12,plaus,The photographer is taking a picture of the model.,7.61085279,10.99867732,12.65811288,11.21998962
12,implaus,The model is taking a picture of the photographer.,10.99867732,7.61085279,12.65811288,11.21998962
13,plaus,The pirate is kidnapping the princess.,8.755895082,8.647694999,11.3201935,8.882530508
13,implaus,The princess is kidnapping the pirate.,8.647694999,8.755895082,11.3201935,8.882530508
14,plaus,The priest is blessing the bride.,10.61221276,9.976133743,12.19825283,10.65951563
14,implaus,The bride is blessing the priest.,9.976133743,10.61221276,12.19825283,10.65951563
15,plaus,The shark is biting the snorkeler.,9.009569672,5.707110265,10.96344205,9.624236506
15,implaus,The snorkeler is biting the shark.,5.707110265,9.009569672,10.96344205,9.624236506
16,plaus,The professor is lecturing to the student.,9.619797501,10.78033035,12.30412692,10.0251298
16,implaus,The student is lecturing to the professor.,10.78033035,9.619797501,12.30412692,10.0251298
17,plaus,The vampire is biting the woman.,7.818832444,10.80758424,11.61506484,9.624236506
17,implaus,The woman is biting the vampire.,10.80758424,7.818832444,11.61506484,9.624236506
18,plaus,The waiter is serving the customer.,7.718240952,9.891465577,11.66087496,12.75043265
18,implaus,The customer is serving the waiter.,9.891465577,7.718240952,11.66087496,12.75043265
19,plaus,The lawyer is giving money to the beggar.,9.773606632,9.588297241,12.21627104,11.15914632
19,implaus,The beggar is giving money to the lawyer.,9.588297241,9.773606632,12.21627104,11.15914632
20,plaus,The chef is cooking for the lady.,9.310366686,10.15428518,12.27908639,10.46070046
20,implaus,The lady is cooking for the chef.,10.15428518,9.310366686,12.27908639,10.46070046
21,plaus,The ballerina is dancing for the grandpa.,6.839476438,9.08375622,11.86958133,10.66275014
21,implaus,The grandpa is dancing for the ballerina.,9.08375622,6.839476438,11.86958133,10.66275014
22,plaus,The journalist is interviewing the sportsstar.,8.554488976,0,9.803006521,9.677778212
22,implaus,The sportsstar is interviewing the journalist.,0,8.554488976,9.803006521,9.677778212
23,plaus,The judge is sentencing the criminal.,10.60042753,10.07483242,11.90332176,10.33834964
23,implaus,The criminal is sentencing the judge.,10.07483242,10.60042753,11.90332176,10.33834964
24,plaus,The father is pulling the child on the sled.,10.96427682,12.02586884,12.46406285,10.63067378
24,implaus,The child is pulling the father on the sled.,12.02586884,10.96427682,12.46406285,10.63067378
25,plaus,Santa is giving the girl a present.,8.97157544,10.6320984,12.32360737,11.15914632
25,implaus,The girl is giving Santa a present.,10.6320984,8.97157544,12.32360737,11.15914632
26,plaus,The peasant is bowing to the queen.,9.941650014,9.921425698,12.2805111,11.49156903
26,implaus,The queen is bowing to the peasant.,9.921425698,9.941650014,12.2805111,11.49156903
27,plaus,The lady is applauding the athlete.,10.15428518,7.987864096,11.48386603,9.376532547
27,implaus,The athlete is applauding the lady.,7.987864096,10.15428518,11.48386603,9.376532547
28,plaus,The father is tying the son's shoes.,10.96427682,9.171703488,10.92479686,11.81357065
28,implaus,The son is tying the father's shoes.,12.62809656,9.171703488,11.28359619,11.81357065
