ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,sentence
1,passive,plausible,The illness was caught by the raider.,The raider caught the illness.,AI,11.34340742
1,passive,implausible,The raider was caught by the illness.,The raider caught the illness.,AI,11.34340742
2,passive,plausible,The disease was contracted by the marauder.,The marauder contracted the disease.,AI,11.53057413
2,passive,implausible,The marauder was contracted by the disease.,The marauder contracted the disease.,AI,11.53057413
3,passive,plausible,The prison was dreaded by the convict.,The convict dreaded prison.,AI,11.88678563
3,passive,implausible,The convict was dreaded by the prison.,The convict dreaded prison.,AI,11.88678563
4,passive,plausible,The jail was feared by the criminal.,The criminal feared jail.,AI,11.81648766
4,passive,implausible,The criminal was feared by the jail.,The criminal feared jail.,AI,11.81648766
5,passive,plausible,The cash was squandered by the prostitute.,The prostitute squandered the cash.,AI,11.46302238
5,passive,implausible,The prostitute was squandered by the cash.,The prostitute squandered the cash.,AI,11.46302238
6,passive,plausible,The money was wasted by the call girl.,The call girl wasted the money.,AI,12.02359899
6,passive,implausible,The call girl was wasted by the money.,The call girl wasted the money.,AI,12.02359899
7,passive,plausible,The beverage was requested by the adventurer.,The adventurer requested a beverage.,AI,11.34390478
7,passive,implausible,The adventurer was requested by the beverage.,The adventurer requested a beverage.,AI,11.34390478
8,passive,plausible,The funeral was prepared by the undertaker.,The undertaker prepared the funeral.,AI,11.55186114
8,passive,implausible,The undertaker was prepared by the funeral.,The undertaker prepared the funeral.,AI,11.55186114
9,passive,plausible,The burial was arranged by the mortician.,The mortician arranged the burial.,AI,11.1818839
9,passive,implausible,The mortician was arranged by the burial.,The mortician arranged the burial.,AI,11.1818839
10,passive,plausible,The liquor was supplied by the supervisor.,The supervisor supplied the liquor.,AI,11.61336408
10,passive,implausible,The supervisor was supplied by the liquor.,The supervisor supplied the liquor.,AI,11.61336408
11,passive,plausible,The alcohol was provided by the overseer.,The overseer provided the alcohol.,AI,11.85107314
11,passive,implausible,The overseer was provided by the alcohol.,The overseer provided the alcohol.,AI,11.85107314
12,passive,plausible,The car was crashed by the troublemaker.,The troublemaker crashed the car.,AI,11.6350429
12,passive,implausible,The troublemaker was crashed by the car.,The troublemaker crashed the car.,AI,11.6350429
13,passive,plausible,The vehicle was wrecked by the hooligan.,The hooligan wrecked the vehicle.,AI,11.17418435
13,passive,implausible,The hooligan was wrecked by the vehicle.,The hooligan wrecked the vehicle.,AI,11.17418435
14,passive,plausible,The tap was fixed by the repairman.,The repairman fixed the tap.,AI,11.72546552
14,passive,implausible,The repairman was fixed by the tap.,The repairman fixed the tap.,AI,11.72546552
15,passive,plausible,The faucet was repaired by the handyman.,The handyman repaired the faucet.,AI,10.85530657
15,passive,implausible,The handyman was repaired by the faucet.,The handyman repaired the faucet.,AI,10.85530657
16,passive,plausible,The desk was organized by the secretary.,The secretary organized the desk.,AI,11.79711831
16,passive,implausible,The secretary was organized by the desk.,The secretary organized the desk.,AI,11.79711831
17,passive,plausible,The table was tidied by the receptionist.,The receptionist tidied the table.,AI,11.24442226
17,passive,implausible,The receptionist was tidied by the table.,The receptionist tidied the table.,AI,11.24442226
18,passive,plausible,The airplane was steered by the pilot.,The pilot steered the airplane.,AI,11.15548085
18,passive,implausible,The pilot was steered by the airplane.,The pilot steered the airplane.,AI,11.15548085
19,passive,plausible,The jet was maneuvered by the aviator.,The aviator maneuvered the jet.,AI,11.25135011
19,passive,implausible,The aviator was maneuvered by the jet.,The aviator maneuvered the jet.,AI,11.25135011
20,passive,plausible,The squid was sauteed by the chef.,The chef sautéed the squid.,AI,11.14657082
20,passive,implausible,The chef was sauteed by the squid.,The chef sautéed the squid.,AI,11.14657082
21,passive,plausible,The octopus was grilled by the cook.,The cook grilled the octopus.,AI,11.34532705
21,passive,implausible,The cook was grilled by the octopus.,The cook grilled the octopus.,AI,11.34532705
22,passive,plausible,The triumph was promised by the ship captain.,The ship captain promised a triumph.,AI,11.83238654
22,passive,implausible,The ship captain was promised by the triumph.,The ship captain promised a triumph.,AI,11.83238654
23,passive,plausible,The victory was guaranteed by the skipper.,The skipper guaranteed a victory.,AI,11.44334313
23,passive,implausible,The skipper was guaranteed by the victory.,The skipper guaranteed a victory.,AI,11.44334313
24,passive,plausible,The fedora was adorned by the milliner.,The milliner adorned the fedora.,AI,10.96765164
24,passive,implausible,The milliner was adorned by the fedora.,The milliner adorned the fedora.,AI,10.96765164
25,passive,plausible,The bowler was decorated by the hatter.,The hatter decorated the bowler.,AI,11.01520964
25,passive,implausible,The hatter was decorated by the bowler.,The hatter decorated the bowler.,AI,11.01520964
26,passive,plausible,The flag was hoisted by the serviceman.,The serviceman hoisted the flag.,AI,11.19003366
26,passive,implausible,The serviceman was hoisted by the flag.,The serviceman hoisted the flag.,AI,11.19003366
27,passive,plausible,The banner was raised by the soldier.,The soldier raised the banner.,AI,11.95115506
27,passive,implausible,The soldier was raised by the banner.,The soldier raised the banner.,AI,11.95115506
28,passive,plausible,The mission was failed by the agent.,The agent failed the mission.,AI,12.30496748
28,passive,implausible,The agent was failed by the mission.,The agent failed the mission.,AI,12.30496748
29,passive,plausible,The assignment was blown by the operative.,The operative blew the assignment.,AI,11.54924425
29,passive,implausible,The operative was blown by the assignment.,The operative blew the assignment.,AI,11.54924425
30,passive,plausible,The expression was garbled by the anchorman.,The anchorman garbled the expression.,AI,11.02915411
30,passive,implausible,The anchorman was garbled by the expression.,The anchorman garbled the expression.,AI,11.02915411
31,passive,plausible,The word was mispronounced by the announcer.,The announcer mispronounced the word.,AI,11.32407632
31,passive,implausible,The announcer was mispronounced by the word.,The announcer mispronounced the word.,AI,11.32407632
32,passive,plausible,The novel was finished by the author.,The author finished the novel.,AI,12.31504206
32,passive,implausible,The author was finished by the novel.,The author finished the novel.,AI,12.31504206
33,passive,plausible,The book was completed by the writer.,The writer completed the book.,AI,12.36994125
33,passive,implausible,The writer was completed by the book.,The writer completed the book.,AI,12.36994125
34,passive,plausible,The project was sponsored by the financier.,The financier sponsored the project.,AI,11.50232542
34,passive,implausible,The financier was sponsored by the project.,The financier sponsored the project.,AI,11.50232542
35,passive,plausible,The program was funded by the banker.,The banker funded the program.,AI,11.60267896
35,passive,implausible,The banker was funded by the program.,The banker funded the program.,AI,11.60267896
36,passive,plausible,The bus was exited by the tourist.,The tourist exited the bus.,AI,11.74068476
36,passive,implausible,The tourist was exited by the bus.,The tourist exited the bus.,AI,11.74068476
37,passive,plausible,The shuttle was left by the vacationer.,The vacationer left the shuttle.,AI,11.50293239
37,passive,implausible,The vacationer was left by the shuttle.,The vacationer left the shuttle.,AI,11.50293239
38,passive,plausible,The jam was loathed by the dietitian.,The dietitian loathed jam.,AI,11.30998236
38,passive,implausible,The dietitian was loathed by the jam.,The dietitian loathed jam.,AI,11.30998236
39,passive,plausible,The marmalade was detested by the nutritionist.,The nutritionist detested marmalade.,AI,10.83339664
39,passive,implausible,The nutritionist was detested by the marmalade.,The nutritionist detested marmalade.,AI,10.83339664
40,passive,plausible,The cure was discovered by the scientist.,The scientist discovered the cure.,AI,11.91613168
40,passive,implausible,The scientist was discovered by the cure.,The scientist discovered the cure.,AI,11.91613168
41,passive,plausible,The remedy was found by the researcher.,The researcher found the remedy.,AI,12.05526307
41,passive,implausible,The researcher was found by the remedy.,The researcher found the remedy.,AI,12.05526307
42,passive,plausible,The school was closed by the doctor.,The doctor closed the school.,AI,12.35878098
42,passive,implausible,The doctor was closed by the school.,The doctor closed the school.,AI,12.35878098
43,passive,plausible,The cushion was lifted by the maid.,The maid lifted the cushion.,AI,11.56542794
43,passive,implausible,The maid was lifted by the cushion.,The maid lifted the cushion.,AI,11.56542794
44,passive,plausible,The drapes were suggested by the designer.,The designer suggested the drapes.,AI,11.02381785
44,passive,implausible,The designer were suggested by the drapes.,The designer suggested the drapes.,AI,11.02381785
45,passive,plausible,The curtains were recommended by the decorator.,The decorator recommended the curtains.,AI,10.88785441
45,passive,implausible,The decorator were recommended by the curtains.,The decorator recommended the curtains.,AI,10.88785441
46,passive,plausible,The pants were washed by the builder.,The builder washed the pants.,AI,10.97912632
46,passive,implausible,The builder were washed by the pants.,The builder washed the pants.,AI,10.97912632
47,passive,plausible,The trousers were laundered by the contractor.,The contractor laundered the trousers.,AI,10.78433805
47,passive,implausible,The contractor were laundered by the trousers.,The contractor laundered the trousers.,AI,10.78433805
48,passive,plausible,The sink was wiped by the servant.,The servant wiped the sink.,AI,11.6326855
48,passive,implausible,The servant was wiped by the sink.,The servant wiped the sink.,AI,11.6326855
49,passive,plausible,The wash basin was cleaned by the domestic.,The domestic cleaned the wash basin.,AI,11.48739914
49,passive,implausible,The domestic was cleaned by the wash basin.,The domestic cleaned the wash basin.,AI,11.48739914
50,passive,plausible,The pullover was donned by the friend.,The friend donned the pullover.,AI,11.26236435
50,passive,implausible,The friend was donned by the pullover.,The friend donned the pullover.,AI,11.26236435
51,passive,plausible,The pill was taken by the convalescent.,The convalescent took the pill.,AI,11.89712687
