"TrialType","Parameter","MPT","GPT-J","GPT-2","RoBERTa","BERT"
"all","Ceiling (human ratings)","0.919 ***","0.919 ***","0.919 ***","0.919 ***","0.919 ***"
"all","Early layers > human","-0.231 ***","-0.193 ***","-0.271 ***","-0.249 ***","-0.293 ***"
"all","Middle layers > human","-0.053 **","-0.067 ***","-0.109 ***","-0.11 ***","-0.261 ***"
"all","Late layers > human","","-0.074 ***","-0.091 ***","-0.062 ***","-0.096 ***"
"all","Early layers, trend","0.007 ***","0.033 ***","0.015 ***","0.031 ***","0.027 ***"
"all","Middle layers, trend","0.006 ***","","0.003 ***","0.017 ***","0.022 ***"
"all","Late layers, trend","","","","",""
"TrainOn:AA-TestOn:AA","Ceiling (human ratings)","0.842 ***","0.842 ***","0.842 ***","0.842 ***","0.842 ***"
"TrainOn:AA-TestOn:AA","Early layers > human","-0.275 ***","-0.234 ***","-0.278 ***","-0.282 ***","-0.326 ***"
"TrainOn:AA-TestOn:AA","Middle layers > human","-0.067 **","-0.102 ***","-0.123 ***","-0.173 ***","-0.284 ***"
"TrainOn:AA-TestOn:AA","Late layers > human","-0.052 *","-0.102 ***","-0.1 ***","-0.077 ***","-0.124 ***"
"TrainOn:AA-TestOn:AA","Early layers, trend","0.006 ***","0.02 ***","0.009 ***","0.006 *","0.006 *"
"TrainOn:AA-TestOn:AA","Middle layers, trend","0.013 ***","","0.005 ***","0.028 ***","0.019 ***"
"TrainOn:AA-TestOn:AA","Late layers, trend","","","","",""
"TrainOn:AA-TestOn:AI","Ceiling (human ratings)","0.978 ***","0.978 ***","0.978 ***","0.978 ***","0.978 ***"
"TrainOn:AA-TestOn:AI","Early layers > human","-0.486 ***","-0.37 ***","-0.461 ***","-0.418 ***","-0.418 ***"
"TrainOn:AA-TestOn:AI","Middle layers > human","-0.179 ***","-0.237 ***","-0.27 ***","-0.332 ***","-0.414 ***"
"TrainOn:AA-TestOn:AI","Late layers > human","-0.151 ***","-0.253 ***","-0.264 ***","-0.153 ***","-0.311 ***"
"TrainOn:AA-TestOn:AI","Early layers, trend","0.002 ***","0.039 ***","0.003 ***","0.009 ***","0.018 ***"
"TrainOn:AA-TestOn:AI","Middle layers, trend","0.01 ***","-0.01 ***","0.004 ***","0.047 ***","0.022 ***"
"TrainOn:AA-TestOn:AI","Late layers, trend","","0.008 ***","","-0.011 ***",""
"TrainOn:AI-TestOn:AA","Ceiling (human ratings)","0.731 ***","0.731 ***","0.731 ***","0.731 ***","0.731 ***"
"TrainOn:AI-TestOn:AA","Early layers > human","-0.215 ***","-0.181 ***","-0.212 ***","-0.216 ***","-0.211 ***"
"TrainOn:AI-TestOn:AA","Middle layers > human","-0.115 ***","-0.074 ***","-0.112 ***","-0.168 ***","-0.21 ***"
"TrainOn:AI-TestOn:AA","Late layers > human","-0.127 ***","-0.078 ***","-0.112 ***","-0.129 ***","-0.167 ***"
"TrainOn:AI-TestOn:AA","Early layers, trend","0.002 ***","0.018 ***","0.002 ***","-0.001 *","0.004 ***"
"TrainOn:AI-TestOn:AA","Middle layers, trend","0.006 ***","","0.002 ***","0.01 ***","0.004 ***"
"TrainOn:AI-TestOn:AA","Late layers, trend","-0.002 ***","-0.001 *","-0.001 ***","0.006 ***","-0.002 *"
"TrainOn:AI-TestOn:AI","Ceiling (human ratings)","0.977 ***","0.977 ***","0.977 ***","0.977 ***","0.977 ***"
"TrainOn:AI-TestOn:AI","Early layers > human","-0.117 ***","-0.081 ***","-0.159 ***","-0.167 ***","-0.246 ***"
"TrainOn:AI-TestOn:AI","Middle layers > human","","","","","-0.141 ***"
"TrainOn:AI-TestOn:AI","Late layers > human","","","","",""
"TrainOn:AI-TestOn:AI","Early layers, trend","0.015 ***","0.038 ***","0.026 ***","0.057 ***","0.049 ***"
"TrainOn:AI-TestOn:AI","Middle layers, trend","","","","","0.024 ***"
"TrainOn:AI-TestOn:AI","Late layers, trend","","","","",""
