"VoiceType","Parameter","MPT","GPT-J","GPT-2","RoBERTa","BERT"
"all","Ceiling (human ratings)","0.915 ***","0.915 ***","0.915 ***","0.915 ***","0.915 ***"
"all","Early layers > human","-0.32 ***","-0.281 ***","-0.348 ***","-0.291 ***","-0.343 ***"
"all","Middle layers > human","-0.062 ***","-0.08 ***","-0.16 ***","-0.12 ***","-0.291 ***"
"all","Late layers > human","","-0.062 ***","-0.14 ***","-0.061 ***","-0.129 ***"
"all","Early layers, trend","0.007 ***","0.031 ***","0.009 ***","0.028 ***","0.017 ***"
"all","Middle layers, trend","0.011 ***","0.005 ***","0.005 ***","0.018 ***","0.016 ***"
"all","Late layers, trend","","","","",""
"TrainOn:active-TestOn:active","Ceiling (human ratings)","0.919 ***","0.919 ***","0.919 ***","0.919 ***","0.919 ***"
"TrainOn:active-TestOn:active","Early layers > human","-0.231 ***","-0.193 ***","-0.271 ***","-0.249 ***","-0.293 ***"
"TrainOn:active-TestOn:active","Middle layers > human","-0.053 **","-0.067 ***","-0.109 ***","-0.11 ***","-0.261 ***"
"TrainOn:active-TestOn:active","Late layers > human","","-0.074 ***","-0.091 ***","-0.062 ***","-0.096 ***"
"TrainOn:active-TestOn:active","Early layers, trend","0.007 ***","0.033 ***","0.015 ***","0.031 ***","0.027 ***"
"TrainOn:active-TestOn:active","Middle layers, trend","0.006 ***","","0.003 ***","0.017 ***","0.022 ***"
"TrainOn:active-TestOn:active","Late layers, trend","","","","",""
"TrainOn:active-TestOn:passive","Ceiling (human ratings)","0.906 ***","0.906 ***","0.906 ***","0.906 ***","0.906 ***"
"TrainOn:active-TestOn:passive","Early layers > human","-0.555 ***","-0.462 ***","-0.499 ***","-0.482 ***","-0.486 ***"
"TrainOn:active-TestOn:passive","Middle layers > human","-0.222 ***","-0.338 ***","-0.349 ***","-0.299 ***","-0.445 ***"
"TrainOn:active-TestOn:passive","Late layers > human","-0.113 ***","-0.326 ***","-0.378 ***","-0.216 ***","-0.242 ***"
"TrainOn:active-TestOn:passive","Early layers, trend","-0.007 ***","0.007 ***","-0.006 ***","-0.015 ***","-0.02 ***"
"TrainOn:active-TestOn:passive","Middle layers, trend","0.026 ***","","0.005 ***","0.034 ***","0.005 *"
"TrainOn:active-TestOn:passive","Late layers, trend","","","","-0.01 **","0.016 ***"
"TrainOn:passive-TestOn:active","Ceiling (human ratings)","0.919 ***","0.919 ***","0.919 ***","0.919 ***","0.919 ***"
"TrainOn:passive-TestOn:active","Early layers > human","-0.525 ***","-0.494 ***","-0.506 ***","-0.511 ***","-0.508 ***"
"TrainOn:passive-TestOn:active","Middle layers > human","-0.223 ***","-0.254 ***","-0.364 ***","-0.267 ***","-0.486 ***"
"TrainOn:passive-TestOn:active","Late layers > human","-0.134 ***","-0.193 ***","-0.323 ***","-0.284 ***","-0.284 ***"
"TrainOn:passive-TestOn:active","Early layers, trend","-0.006 ***","0.016 ***","-0.008 ***","-0.016 ***","-0.024 ***"
"TrainOn:passive-TestOn:active","Middle layers, trend","0.025 ***","0.008 **","0.011 ***","0.046 ***",""
"TrainOn:passive-TestOn:active","Late layers, trend","","","","-0.049 ***","0.015 ***"
"TrainOn:passive-TestOn:passive","Ceiling (human ratings)","0.904 ***","0.904 ***","0.904 ***","0.904 ***","0.904 ***"
"TrainOn:passive-TestOn:passive","Early layers > human","-0.208 ***","-0.191 ***","-0.247 ***","-0.221 ***","-0.271 ***"
"TrainOn:passive-TestOn:passive","Middle layers > human","","-0.043 **","-0.101 ***","-0.089 ***","-0.232 ***"
"TrainOn:passive-TestOn:passive","Late layers > human","","","-0.099 ***","","-0.108 ***"
"TrainOn:passive-TestOn:passive","Early layers, trend","0.009 ***","0.028 ***","0.014 ***","0.03 ***","0.027 ***"
"TrainOn:passive-TestOn:passive","Middle layers, trend","0.008 ***","0.008 ***","","0.012 ***","0.016 ***"
"TrainOn:passive-TestOn:passive","Late layers, trend","","","","",""
