"Model","TrialType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"MPT","all","(Intercept)",0.919000000000002,0.0179683771112463,51.1454091991871,2.84084877079914e-199,5.91843493916486e-199,"***","<0.001"
"MPT","all","LayerGroupearly",-0.231239819004527,0.0184893075113147,-12.5066781902469,2.29815142981947e-31,3.83025238303245e-31,"***","<0.001"
"MPT","all","LayerGroupmid",-0.0530192307692319,0.0185213791876498,-2.86259625873787,0.00438067795810298,0.00547584744762873,"**","0.005"
"MPT","all","LayerGrouplate",-0.0314615384615393,0.0185213791876497,-1.69866067439072,0.0900140632297138,0.112517579037142,"","0.113"
"MPT","all","LayerGroupearly:cLayerWithinGroup",0.00735237556561085,0.000889567222398937,8.26511519363692,1.3013887392875e-15,2.3239084630134e-15,"***","<0.001"
"MPT","all","LayerGroupmid:cLayerWithinGroup",0.00624366515837105,0.000974472068250225,6.4072284489203,3.4654458847311e-10,7.21967892652312e-10,"***","<0.001"
"MPT","all","LayerGrouplate:cLayerWithinGroup",-0.00107466063348416,0.000974472068250225,-1.10281317289457,0.270646349394027,0.520473748834668,"","0.52"
"MPT","TrainOn:AA-TestOn:AA","(Intercept)",0.842307692307694,0.0240341765894946,35.046247129426,6.02715112502342e-136,7.17517991074217e-136,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AA","LayerGroupearly",-0.274622926093517,0.0247309636809812,-11.1044166994879,1.00659330990459e-25,1.39804626375638e-25,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AA","LayerGroupmid",-0.0673076923076935,0.0247738621758083,-2.71688329538781,0.00682171049944937,0.00812108392791591,"**","0.008"
"MPT","TrainOn:AA-TestOn:AA","LayerGrouplate",-0.0523838141025649,0.0247738621758082,-2.11447911233308,0.0349756927556981,0.0460206483627607,"*","0.046"
"MPT","TrainOn:AA-TestOn:AA","LayerGroupearly:cLayerWithinGroup",0.00587606837606839,0.00118986904487777,4.93841603944912,1.08005202048387e-06,1.28577621486175e-06,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AA","LayerGroupmid:cLayerWithinGroup",0.0127253016591252,0.00130343623271336,9.76288777291002,1.05731144785254e-20,4.40546436605225e-20,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AA","LayerGrouplate:cLayerWithinGroup",-0.000474641779788839,0.00130343623271336,-0.364146528902896,0.715904717501663,0.82898469960007,"","0.829"
"MPT","TrainOn:AA-TestOn:AI","(Intercept)",0.977906976744186,0.0125554982390507,77.8867519333206,3.18296717989421e-279,1.98935448743388e-278,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AI","LayerGroupearly",-0.485627564979481,0.0129195011025387,-37.5887242955577,7.26755228768335e-147,4.5422201798021e-146,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AI","LayerGroupmid",-0.178859125181687,0.0129419113554656,-13.8201476017799,5.97120694474236e-37,1.65866859576177e-36,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AI","LayerGrouplate",-0.150734125181686,0.0129419113554655,-11.6469755541965,7.30761333998377e-28,2.02989259443994e-27,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AI","LayerGroupearly:cLayerWithinGroup",0.00229683670343139,0.000621589786612196,3.69510045515655,0.000244420048370943,0.000277750054966981,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AI","LayerGroupmid:cLayerWithinGroup",0.0103716681985294,0.000680917495284645,15.2319014716955,3.2562567558394e-43,2.71354729653283e-42,"***","<0.001"
"MPT","TrainOn:AA-TestOn:AI","LayerGrouplate:cLayerWithinGroup",-0.00130687040441177,0.000680917495284645,-1.91927864016103,0.0555260110462882,0.154238919573023,"","0.154"
"MPT","TrainOn:AI-TestOn:AA","(Intercept)",0.730769230769232,0.00539016705901961,135.574504976873,0,0,"***","<0.001"
"MPT","TrainOn:AI-TestOn:AA","LayerGroupearly",-0.215151355712233,0.00554643614582172,-38.7909190795087,6.61767250586877e-152,5.51472708822398e-151,"***","<0.001"
"MPT","TrainOn:AI-TestOn:AA","LayerGroupmid",-0.114998881932022,0.00555605703101568,-20.6979304370099,5.89346370911207e-69,2.4556098787967e-68,"***","<0.001"
"MPT","TrainOn:AI-TestOn:AA","LayerGrouplate",-0.127353533094812,0.00555605703101564,-22.9215669284683,1.07959233947954e-79,6.74745212174711e-79,"***","<0.001"
"MPT","TrainOn:AI-TestOn:AA","LayerGroupearly:cLayerWithinGroup",0.00198928408572731,0.000266853033486101,7.45460547980211,4.08193459571709e-13,6.00284499370161e-13,"***","<0.001"
"MPT","TrainOn:AI-TestOn:AA","LayerGroupmid:cLayerWithinGroup",0.00562642498860009,0.000292322851958038,19.2472978110098,5.50978017484775e-62,6.88722521855969e-61,"***","<0.001"
"MPT","TrainOn:AI-TestOn:AA","LayerGrouplate:cLayerWithinGroup",-0.00168205654354765,0.000292322851958038,-5.7541055455668,1.53144064374191e-08,1.91430080467739e-07,"***","<0.001"
"MPT","TrainOn:AI-TestOn:AI","(Intercept)",0.976602564102569,0.016603679532704,58.8184421518718,5.48266152854574e-225,1.37066538213643e-224,"***","<0.001"
