"TrialType","Parameter","RoBERTa","BERT","GPT-J","GPT-2"
"all","Ceiling (human ratings)","0.919 ***","0.919 ***","0.919 ***","0.919 ***"
"all","Early layers > human","-0.249 ***","-0.293 ***","-0.193 ***","-0.271 ***"
"all","Middle layers > human","-0.11 ***","-0.261 ***","-0.067 ***","-0.109 ***"
"all","Late layers > human","-0.062 ***","-0.096 ***","-0.074 ***","-0.091 ***"
"all","Early layers, trend","0.031 ***","0.027 ***","0.033 ***","0.015 ***"
"all","Middle layers, trend","0.017 ***","0.022 ***","","0.003 ***"
"all","Late layers, trend","","","",""
"TrainOn:AAN-TestOn:AAN","Ceiling (human ratings)","0.842 ***","0.842 ***","0.842 ***","0.842 ***"
"TrainOn:AAN-TestOn:AAN","Early layers > human","-0.282 ***","-0.326 ***","-0.234 ***","-0.278 ***"
"TrainOn:AAN-TestOn:AAN","Middle layers > human","-0.173 ***","-0.284 ***","-0.102 ***","-0.123 ***"
"TrainOn:AAN-TestOn:AAN","Late layers > human","-0.077 ***","-0.124 ***","-0.102 ***","-0.1 ***"
"TrainOn:AAN-TestOn:AAN","Early layers, trend","0.006 *","0.006 *","0.02 ***","0.009 ***"
"TrainOn:AAN-TestOn:AAN","Middle layers, trend","0.028 ***","0.019 ***","","0.005 ***"
"TrainOn:AAN-TestOn:AAN","Late layers, trend","","","",""
"TrainOn:AAN-TestOn:AI","Ceiling (human ratings)","0.978 ***","0.978 ***","0.978 ***","0.978 ***"
"TrainOn:AAN-TestOn:AI","Early layers > human","-0.418 ***","-0.418 ***","-0.37 ***","-0.461 ***"
"TrainOn:AAN-TestOn:AI","Middle layers > human","-0.332 ***","-0.414 ***","-0.237 ***","-0.27 ***"
"TrainOn:AAN-TestOn:AI","Late layers > human","-0.153 ***","-0.311 ***","-0.253 ***","-0.264 ***"
"TrainOn:AAN-TestOn:AI","Early layers, trend","0.009 ***","0.018 ***","0.039 ***","0.003 ***"
"TrainOn:AAN-TestOn:AI","Middle layers, trend","0.047 ***","0.022 ***","-0.01 ***","0.004 ***"
"TrainOn:AAN-TestOn:AI","Late layers, trend","-0.011 ***","","0.008 ***",""
"TrainOn:AI-TestOn:AAN","Ceiling (human ratings)","0.731 ***","0.731 ***","0.731 ***","0.731 ***"
"TrainOn:AI-TestOn:AAN","Early layers > human","-0.216 ***","-0.211 ***","-0.181 ***","-0.212 ***"
"TrainOn:AI-TestOn:AAN","Middle layers > human","-0.168 ***","-0.21 ***","-0.074 ***","-0.112 ***"
"TrainOn:AI-TestOn:AAN","Late layers > human","-0.129 ***","-0.167 ***","-0.078 ***","-0.112 ***"
"TrainOn:AI-TestOn:AAN","Early layers, trend","-0.001 *","0.004 ***","0.018 ***","0.002 ***"
"TrainOn:AI-TestOn:AAN","Middle layers, trend","0.01 ***","0.004 ***","","0.002 ***"
"TrainOn:AI-TestOn:AAN","Late layers, trend","0.006 ***","-0.002 *","-0.001 *","-0.001 ***"
"TrainOn:AI-TestOn:AI","Ceiling (human ratings)","0.977 ***","0.977 ***","0.977 ***","0.977 ***"
"TrainOn:AI-TestOn:AI","Early layers > human","-0.167 ***","-0.246 ***","-0.081 ***","-0.159 ***"
"TrainOn:AI-TestOn:AI","Middle layers > human","","-0.141 ***","",""
"TrainOn:AI-TestOn:AI","Late layers > human","","","",""
"TrainOn:AI-TestOn:AI","Early layers, trend","0.057 ***","0.049 ***","0.038 ***","0.026 ***"
"TrainOn:AI-TestOn:AI","Middle layers, trend","","0.024 ***","",""
"TrainOn:AI-TestOn:AI","Late layers, trend","","","",""
