"VoiceType","Parameter","RoBERTa","BERT","GPT-J","GPT-2"
"all","Ceiling (human ratings)","0.915 ***","0.915 ***","0.915 ***","0.915 ***"
"all","Early layers > human","-0.291 ***","-0.343 ***","-0.281 ***","-0.348 ***"
"all","Middle layers > human","-0.12 ***","-0.291 ***","-0.08 ***","-0.16 ***"
"all","Late layers > human","-0.061 ***","-0.129 ***","-0.062 ***","-0.14 ***"
"all","Early layers, trend","0.028 ***","0.017 ***","0.031 ***","0.009 ***"
"all","Middle layers, trend","0.018 ***","0.016 ***","0.005 ***","0.005 ***"
"all","Late layers, trend","","","",""
"TrainOn:active-TestOn:active","Ceiling (human ratings)","0.919 ***","0.919 ***","0.919 ***","0.919 ***"
"TrainOn:active-TestOn:active","Early layers > human","-0.249 ***","-0.293 ***","-0.193 ***","-0.271 ***"
"TrainOn:active-TestOn:active","Middle layers > human","-0.11 ***","-0.261 ***","-0.067 ***","-0.109 ***"
"TrainOn:active-TestOn:active","Late layers > human","-0.062 ***","-0.096 ***","-0.074 ***","-0.091 ***"
"TrainOn:active-TestOn:active","Early layers, trend","0.031 ***","0.027 ***","0.033 ***","0.015 ***"
"TrainOn:active-TestOn:active","Middle layers, trend","0.017 ***","0.022 ***","","0.003 ***"
"TrainOn:active-TestOn:active","Late layers, trend","","","",""
"TrainOn:active-TestOn:passive","Ceiling (human ratings)","0.906 ***","0.906 ***","0.906 ***","0.906 ***"
"TrainOn:active-TestOn:passive","Early layers > human","-0.482 ***","-0.486 ***","-0.462 ***","-0.499 ***"
"TrainOn:active-TestOn:passive","Middle layers > human","-0.299 ***","-0.445 ***","-0.338 ***","-0.349 ***"
"TrainOn:active-TestOn:passive","Late layers > human","-0.216 ***","-0.242 ***","-0.326 ***","-0.378 ***"
"TrainOn:active-TestOn:passive","Early layers, trend","-0.015 ***","-0.02 ***","0.007 ***","-0.006 ***"
"TrainOn:active-TestOn:passive","Middle layers, trend","0.034 ***","0.005 *","","0.005 ***"
"TrainOn:active-TestOn:passive","Late layers, trend","-0.01 **","0.016 ***","",""
"TrainOn:passive-TestOn:active","Ceiling (human ratings)","0.919 ***","0.919 ***","0.919 ***","0.919 ***"
"TrainOn:passive-TestOn:active","Early layers > human","-0.511 ***","-0.508 ***","-0.494 ***","-0.506 ***"
"TrainOn:passive-TestOn:active","Middle layers > human","-0.267 ***","-0.486 ***","-0.254 ***","-0.364 ***"
"TrainOn:passive-TestOn:active","Late layers > human","-0.284 ***","-0.284 ***","-0.193 ***","-0.323 ***"
"TrainOn:passive-TestOn:active","Early layers, trend","-0.016 ***","-0.024 ***","0.016 ***","-0.008 ***"
"TrainOn:passive-TestOn:active","Middle layers, trend","0.046 ***","","0.008 **","0.011 ***"
"TrainOn:passive-TestOn:active","Late layers, trend","-0.049 ***","0.015 ***","",""
"TrainOn:passive-TestOn:passive","Ceiling (human ratings)","0.904 ***","0.904 ***","0.904 ***","0.904 ***"
"TrainOn:passive-TestOn:passive","Early layers > human","-0.221 ***","-0.271 ***","-0.191 ***","-0.247 ***"
"TrainOn:passive-TestOn:passive","Middle layers > human","-0.089 ***","-0.232 ***","-0.043 **","-0.101 ***"
"TrainOn:passive-TestOn:passive","Late layers > human","","-0.108 ***","","-0.099 ***"
"TrainOn:passive-TestOn:passive","Early layers, trend","0.03 ***","0.027 ***","0.028 ***","0.014 ***"
"TrainOn:passive-TestOn:passive","Middle layers, trend","0.012 ***","0.016 ***","0.008 ***",""
"TrainOn:passive-TestOn:passive","Late layers, trend","","","",""
