"Metric","Parameter","Estimate","Std..Error","df","t.value","Pr...t.."
"thematicFit_addition","(Intercept)",0.417608793538833,0.00771317706534501,433.062646343496,54.1422542229884,6.63337421750091e-195
"thematicFit_addition","PlausibilityImplausible",0.0208336293190435,0.00906974190856862,1000.23408505451,2.29704764799988,0.0218218875917418
"thematicFit_addition","TrialTypeAAN",0.0570505753694855,0.0110438028295902,428.291205164701,5.16584515766862,3.6756854622882e-07
"thematicFit_addition","TrialTypeAI",0.0630356854622572,0.0115345225251829,456.54223291095,5.4649583738411,7.62909229640047e-08
"thematicFit_addition","VoiceA>P",0.0342420173353197,0.0141436909382501,1453.42175955207,2.4210100096797,0.0155992736456013
"thematicFit_addition","agent_freq_norm",0.00194013382320938,0.00463750227734398,705.537147254365,0.418357492283658,0.675813069700266
"thematicFit_addition","patient_freq_norm",0.00102729290390064,0.00462704228970288,704.475093798319,0.222019346178616,0.824363168558017
"thematicFit_addition","verb_freq_norm",-0.00406286753099613,0.00369787380942994,404.570180910836,-1.0987036714545,0.27255075139368
"thematicFit_addition","sentence_freq_norm",0.0175759255911141,0.00664494229742987,518.910057325668,2.64500800825796,0.00841647882399272
"thematicFit_addition","PlausibilityImplausible:TrialTypeAAN",-0.058397703426012,0.0130519270680659,999.737049203048,-4.4742590976388,8.54757026469383e-06
"thematicFit_addition","PlausibilityImplausible:TrialTypeAI",-0.0726795251232782,0.0135752289260884,1006.45089633263,-5.35383421664479,1.06672049266028e-07
"thematicFit_addition","PlausibilityImplausible:VoiceA>P",-0.0334980400851892,0.0178572016867079,1142.28956699817,-1.87588406475376,0.0609260602725469
"thematicFit_addition","TrialTypeAAN:VoiceA>P",-0.00111035890132269,0.0182159842803555,1143.33964555521,-0.0609551965039917,0.951405543671115
"thematicFit_addition","TrialTypeAI:VoiceA>P",0.106812801287092,0.0184247330524546,1154.03112761312,5.79725095516987,8.69228761780624e-09
"thematicFit_addition","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",0.00894588501203887,0.0257540225270909,1142.28956695906,0.347358747653055,0.728385809289587
"thematicFit_addition","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.141610146844735,0.0259741115443024,1142.28956685116,-5.45197269224011,6.10104682480302e-08
"bert-large-cased","(Intercept)",0.601392839975672,0.00826511701526868,381.719467760772,72.762773819739,7.57295197044197e-226
"bert-large-cased","PlausibilityImplausible",0.00296537035049088,0.00657054397104043,381.000151840859,0.451312762468482,0.652020918896464
"bert-large-cased","TrialTypeAAN",-0.0131552343858724,0.0118042456397193,378.619598466147,-1.11444939281908,0.265793366379016
"bert-large-cased","TrialTypeAI",-0.034525408905056,0.0123829979095923,394.809867157258,-2.78813007618385,0.00555768238477019
"bert-large-cased","VoiceA>P",-0.214188676187707,0.0110429259334509,1112.73849821667,-19.396007677539,2.01273796881091e-72
"bert-large-cased","agent_freq_norm",0.00344629672338793,0.00515712435990794,683.761680513025,0.668259379234643,0.504193551047215
"bert-large-cased","patient_freq_norm",0.00443678045733411,0.00515735916794936,684.025700790671,0.860281456623515,0.389935330323755
"bert-large-cased","verb_freq_norm",-0.0144392331319646,0.00475733390121774,408.232981659156,-3.03515234200158,0.00255802815941386
"bert-large-cased","sentence_freq_norm",-0.0107524085741091,0.00738564294504773,831.883484247391,-1.45585274756869,0.145810607980942
"bert-large-cased","PlausibilityImplausible:TrialTypeAAN",-0.0240297764503571,0.00945524154677876,381.000126209162,-2.54142385802335,0.0114357666457905
"bert-large-cased","PlausibilityImplausible:TrialTypeAI",-0.152523023679262,0.00983693842235492,381.000589003401,-15.5051314881311,2.20488965339787e-42
"bert-large-cased","PlausibilityImplausible:VoiceA>P",-0.00499243804133618,0.0119821011188211,761.738853911469,-0.416657979416832,0.677045974451556
"bert-large-cased","TrialTypeAAN:VoiceA>P",-0.0150826784320085,0.0122288549183278,763.205065486918,-1.23336800810381,0.217818213714588
"bert-large-cased","TrialTypeAI:VoiceA>P",-0.0796910861654004,0.0124307906543737,778.058016353353,-6.4107817741554,2.508816567321e-10
"bert-large-cased","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",0.0376496786308552,0.0172808319886816,761.738853977854,2.17869594794478,0.0296601178377795
"bert-large-cased","PlausibilityImplausible:TrialTypeAI:VoiceA>P",0.149025212700661,0.0174285107182853,761.738854113019,8.55065674339632,6.66740393592169e-17
"roberta-large","(Intercept)",0.79503101528256,0.00578687058324444,385.771296381754,137.385311084117,0
"roberta-large","PlausibilityImplausible",-0.00179162615122743,0.00582028956481001,381.018601401597,-0.30782422958125,0.758384282987808
"roberta-large","TrialTypeAAN",-0.0181127399987469,0.00826715365214773,382.007391422096,-2.19092819135416,0.029060515153793
"roberta-large","TrialTypeAI",-0.0586125009620646,0.00868370858027697,402.297516722613,-6.74970842471491,5.18699371468766e-11
"roberta-large","VoiceA>P",-0.129778015706046,0.00879180682052715,1105.1606465728,-14.761245140537,3.83972951485037e-45
"roberta-large","agent_freq_norm",-0.00207858862142662,0.00372161179277393,678.348242731545,-0.558518388581665,0.576674756473692
"roberta-large","patient_freq_norm",-0.00281175563801646,0.00372518212530879,681.677984914094,-0.754796824271617,0.450631582101401
"roberta-large","verb_freq_norm",-0.00720908359448056,0.00324561711665629,404.098905868201,-2.2211749985801,0.0268926996602898
"roberta-large","sentence_freq_norm",0.00807085371497369,0.00537320572873739,687.979741102691,1.50205559258759,0.133541581582851
"roberta-large","PlausibilityImplausible:TrialTypeAAN",-0.0106603365977831,0.00837565117371369,381.009292494943,-1.2727770506059,0.203873268193015
"roberta-large","PlausibilityImplausible:TrialTypeAI",-0.124150688599364,0.00871303000032975,381.12929289758,-14.2488535669756,3.13765482649389e-37
"roberta-large","PlausibilityImplausible:VoiceA>P",-0.00423532104686586,0.0100743676942441,761.838272420554,-0.420405644841182,0.674307696128045
"roberta-large","TrialTypeAAN:VoiceA>P",-0.038967021672721,0.0102798361781606,763.104317012399,-3.79062671791462,0.000162120516303379
"roberta-large","TrialTypeAI:VoiceA>P",-0.0778802713897689,0.0104290918211352,775.976676055946,-7.4675985910815,2.19960845550065e-13
"roberta-large","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",0.014608149989739,0.01452945971579,761.838272702038,1.00541591191195,0.315015845665232
"roberta-large","PlausibilityImplausible:TrialTypeAI:VoiceA>P",0.0406901120850753,0.0146536257370823,761.838272477302,2.7767948230113,0.00562460573988379
"syntax-based_PPMI","(Intercept)",0.190239631850628,0.00680290815846368,344.733900267296,27.9644568792166,1.13803289338596e-90
"syntax-based_PPMI","PlausibilityImplausible",-0.00470717553878706,0.00276306273238895,380.866069593204,-1.70360791436582,0.0892700685144745
"syntax-based_PPMI","TrialTypeAAN",0.00304917428856048,0.00971618692695974,343.205175132707,0.313824169036916,0.753845242521521
"syntax-based_PPMI","TrialTypeAI",-0.00852377639715999,0.0101551091095139,350.460956547797,-0.839358425915327,0.401840387989029
"syntax-based_PPMI","VoiceA>P",-0.0878207321668061,0.00538515442047614,984.21373460947,-16.3079320126611,4.1799116650744e-53
"syntax-based_PPMI","agent_freq_norm",-0.015345882402477,0.00359627804802141,616.702572702064,-4.26715682090265,2.29121701612308e-05
"syntax-based_PPMI","patient_freq_norm",-0.0103116619300931,0.00359396622755123,614.122919621378,-2.86915938470547,0.00425714836987296
"syntax-based_PPMI","verb_freq_norm",-0.0327019046744175,0.00395050052597496,358.330221455166,-8.27791426919172,2.51067979581718e-15
"syntax-based_PPMI","sentence_freq_norm",-0.00907425341430962,0.00423946738328453,1126.86139626927,-2.14042298098289,0.0325347618456894
"syntax-based_PPMI","PlausibilityImplausible:TrialTypeAAN",0.00209371072997264,0.00397626827158653,380.817501316513,0.526551677846739,0.598811502071523
"syntax-based_PPMI","PlausibilityImplausible:TrialTypeAI",0.000458473530871489,0.00413501277651366,381.445146372164,0.110875964755311,0.911773020149446
"syntax-based_PPMI","PlausibilityImplausible:VoiceA>P",0.00137823946793462,0.00499444705511768,713.427497061241,0.275954365463215,0.782663030998464
"syntax-based_PPMI","TrialTypeAAN:VoiceA>P",0.00545702012144914,0.00510083309309755,714.758072216008,1.06982918708585,0.285057343850391
"syntax-based_PPMI","TrialTypeAI:VoiceA>P",0.0141782845119284,0.00522111957634785,728.053841335086,2.71556402886411,0.00677316441129523
"syntax-based_PPMI","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",-0.0199757668550861,0.00720309397992677,713.427497113169,-2.77322035652368,0.00569539176579404
"syntax-based_PPMI","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.0238255928255162,0.00726465026198936,713.427497254494,-3.27966136927172,0.00108979564008608
"v2_sdm","(Intercept)",0.526147306373206,0.0106877959370341,380.128128277615,49.2287941754262,5.1066979336236e-167
"v2_sdm","PlausibilityImplausible",-0.00226774826019169,0.00918810327209589,1082.77804238563,-0.246813536269102,0.805099319515462
"v2_sdm","TrialTypeAAN",0.0209015915878246,0.0152695833784957,378.002417538768,1.36883836773572,0.171862676532811
"v2_sdm","TrialTypeAI",0.017435243550426,0.0160117338214726,392.150195712698,1.088904158964,0.276864873500567
"v2_sdm","VoiceA>P",0.207904215712718,0.0160525453266544,1523.57221687566,12.9514797486666,1.79612657602034e-36
