"Category","Parameter","human","GPT2-xl","BERT-large","RoBERTa-large"
"Core effects","Plausibility (AAN>control)","0.38 ***","0.06 ***","0.07 ***","0.08 ***"
"Core effects","Plausibility (AI>AAN)","-0.37 ***","-0.11 ***","-0.12 ***","-0.16 ***"
"Surface-level effects","Voice","","0.03 **","-0.15 ***","-0.11 ***"
"Surface-level effects","Agent frequency","","0.03 ***","0.02 *",""
"Surface-level effects","Patient frequency","","0.03 ***","0.02 *","0.02 **"
"Surface-level effects","Verb frequency","","","-0.04 ***","-0.03 ***"
"Surface-level effects","Avg. word frequency","","","-0.04 **",""
"Surface-level effects","Voice x Sentence (AAN>control)","","","",""
"Surface-level effects","Voice x Sentence (AI>AAN)","0.03 *","0.03 **","0.07 ***","0.05 ***"
"Surface-level effects","Plausibility x Voice x Sentence (AAN>control)","","","",""
"Surface-level effects","Plausibility x Voice x Sentence (AI>AAN)","-0.07 ***","","",""
