"TrialType","Parameter","RoBERTa","BERT","GPT-J","GPT-2"
"all","Ceiling (human ratings)","0.92 ***","0.92 ***","0.92 ***","0.92 ***"
"all","Early layers > human","-0.25 ***","-0.29 ***","-0.19 ***","-0.27 ***"
"all","Middle layers > human","-0.11 ***","-0.26 ***","-0.07 ***","-0.11 ***"
"all","Late layers > human","-0.06 ***","-0.1 ***","-0.07 ***","-0.09 ***"
"all","Early layers, trend","0.03 ***","0.03 ***","0.03 ***","0.01 ***"
"all","Middle layers, trend","0.02 ***","0.02 ***","","0 **"
"all","Late layers, trend","","","",""
"TrainOn:AAN-TestOn:AAN","Ceiling (human ratings)","0.84 ***","0.84 ***","0.84 ***","0.84 ***"
"TrainOn:AAN-TestOn:AAN","Early layers > human","-0.28 ***","-0.33 ***","-0.23 ***","-0.28 ***"
"TrainOn:AAN-TestOn:AAN","Middle layers > human","-0.17 ***","-0.28 ***","-0.1 ***","-0.12 ***"
"TrainOn:AAN-TestOn:AAN","Late layers > human","-0.08 ***","-0.12 ***","-0.1 ***","-0.1 ***"
"TrainOn:AAN-TestOn:AAN","Early layers, trend","0.01 *","0.01 *","0.02 ***","0.01 ***"
"TrainOn:AAN-TestOn:AAN","Middle layers, trend","0.03 ***","0.02 ***","","0.01 ***"
"TrainOn:AAN-TestOn:AAN","Late layers, trend","","","",""
"TrainOn:AAN-TestOn:AAR","Ceiling (human ratings)","0.85 ***","0.85 ***","0.85 ***","0.85 ***"
"TrainOn:AAN-TestOn:AAR","Early layers > human","-0.36 ***","-0.42 ***","-0.47 ***","-0.39 ***"
"TrainOn:AAN-TestOn:AAR","Middle layers > human","-0.46 ***","-0.36 ***","-0.55 ***","-0.44 ***"
"TrainOn:AAN-TestOn:AAR","Late layers > human","-0.47 ***","-0.41 ***","-0.54 ***","-0.49 ***"
"TrainOn:AAN-TestOn:AAR","Early layers, trend","0.02 ***","0.03 ***","0.01 **","0.01 ***"
"TrainOn:AAN-TestOn:AAR","Middle layers, trend","","-0.02 ***","","0 **"
"TrainOn:AAN-TestOn:AAR","Late layers, trend","","","",""
"TrainOn:AAN-TestOn:AI","Ceiling (human ratings)","0.98 ***","0.98 ***","0.98 ***","0.98 ***"
"TrainOn:AAN-TestOn:AI","Early layers > human","-0.42 ***","-0.42 ***","-0.37 ***","-0.46 ***"
"TrainOn:AAN-TestOn:AI","Middle layers > human","-0.33 ***","-0.41 ***","-0.24 ***","-0.27 ***"
"TrainOn:AAN-TestOn:AI","Late layers > human","-0.15 ***","-0.31 ***","-0.25 ***","-0.26 ***"
"TrainOn:AAN-TestOn:AI","Early layers, trend","0.01 ***","0.02 ***","0.04 ***","0 ***"
"TrainOn:AAN-TestOn:AI","Middle layers, trend","0.05 ***","0.02 ***","-0.01 ***","0 ***"
"TrainOn:AAN-TestOn:AI","Late layers, trend","-0.01 ***","","0.01 ***",""
"TrainOn:AI-TestOn:AAN","Ceiling (human ratings)","0.73 ***","0.73 ***","0.73 ***","0.73 ***"
"TrainOn:AI-TestOn:AAN","Early layers > human","-0.22 ***","-0.21 ***","-0.18 ***","-0.21 ***"
"TrainOn:AI-TestOn:AAN","Middle layers > human","-0.17 ***","-0.21 ***","-0.07 ***","-0.11 ***"
"TrainOn:AI-TestOn:AAN","Late layers > human","-0.13 ***","-0.17 ***","-0.08 ***","-0.11 ***"
