,0,1,2,3,4,5,6,7,8,9
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,0,1,2,3,4,5,6,7,8,9
0,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4166666666666667
,0,1,2,3,4,5,6,7,8,9
0,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.4166666666666667,0.5833333333333334,0.5
,0,1,2,3,4,5,6,7,8,9
0,0.5,0.5833333333333334,0.5,0.5,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666
,0,1,2,3,4,5,6,7,8,9
0,0.5833333333333334,0.6666666666666666,0.5,0.5833333333333334,0.5,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5,0.4166666666666667
,0,1,2,3,4,5,6,7,8,9
0,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5,0.5,0.5,0.5,0.5833333333333334,0.5
,0,1,2,3,4,5,6,7,8,9
0,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5,0.4166666666666667,0.5,0.6666666666666666,0.5833333333333334,0.6666666666666666
,0,1,2,3,4,5,6,7,8,9
0,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.5
,0,1,2,3,4,5,6,7,8,9
0,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5,0.5,0.75,0.5833333333333334,0.75,0.5833333333333334,0.5833333333333334
,0,1,2,3,4,5,6,7,8,9
0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5
,0,1,2,3,4,5,6,7,8,9
0,0.6666666666666666,0.5,0.5833333333333334,0.75,0.5,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.8333333333333334
,0,1,2,3,4,5,6,7,8,9
0,0.5833333333333334,0.5,0.6666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5,0.5833333333333334
,0,1,2,3,4,5,6,7,8,9
0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.75,0.5,0.75,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.5
,0,1,2,3,4,5,6,7,8,9
0,0.75,0.5833333333333334,0.5,0.5,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.6666666666666666
,0,1,2,3,4,5,6,7,8,9
0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.75,0.75,0.5833333333333334,0.5,0.5833333333333334
,0,1,2,3,4,5,6,7,8,9
0,0.5,0.6666666666666666,0.5833333333333334,0.75,0.5833333333333334,0.5,0.6666666666666666,0.5833333333333334,0.5,0.6666666666666666
,0,1,2,3,4,5,6,7,8,9
0,0.5,0.6666666666666666,0.75,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.75,0.5833333333333334
,0,1,2,3,4,5,6,7,8,9
0,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5,0.5833333333333334,0.5,0.5833333333333334
,0,1,2,3,4,5,6,7,8,9
0,0.5833333333333334,0.9166666666666666,0.75,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75
,0,1,2,3,4,5,6,7,8,9
0,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.9166666666666666,0.75,0.5,0.6666666666666666,0.75,0.8333333333333334
,0,1,2,3,4,5,6,7,8,9
0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0
,0,1,2,3,4,5,6,7,8,9
0,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.75,0.75
,0,1,2,3,4,5,6,7,8,9
0,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.75,0.8333333333333334,0.75,0.8333333333333334
,0,1,2,3,4,5,6,7,8,9
0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.75,0.8333333333333334
